,Esplanade - Theatres on the Bay,Geylanf Serai Market,G-Max Reverse Bungy,Haw Par Villa,House of Tan Teng Niah,Joo Chiat Street,Marina Bay Sands Casino,Marina Bay Sands SkyPark,NEWater Visitor Centre,Raffles Place,Resort World Sentosa Casino,Sentosa Skyline Luge and Skyride,Singapore Bazaar and Flea Market,Singapore Discovery Centre,Singapore F1 Grand Prix,Singapore Flyer,Singapore River,Science Centre Singapore,Statues of Sir Stamford Raffles,The Padang,Underwater World Singapore Pte Ltd,Universal Studios Singapore,Wonder Full at Marina Bay Sands,Marina Bay Sands
Esplanade - Theatres on the Bay,0,12000,1414,11000,2444,13000,1268,1187,19000,1149,7400,8000,1860,24000,3884,958,2351,17000,937,488,9100,6300,1211,1158
Geylanf Serai Market,12000,0,8691,18593,17427,946,21191,20931,8083,8832,15073,16528,7340,33084,10573,9245,12892,24780,9439,8146,17303,15319,21031,21115
G-Max Reverse Bungy,1414,8774,0,10811,2442,7968,2573,2492,16233,1145,5976,6707,1951,26278,3063,2401,952,17974,609,925,7507,6222,2516,2463
Haw Par Villa,11000,21373,17374,0,11095,23160,14859,14599,26770,11883,6917,7537,11495,18950,8376,13636,16779,12810,12490,13359,8337,7164,14699,14783
House of Tan Teng Niah,2444,9103,2442,11569,0,8297,3450,3234,18460,3189,8048,8779,751,27567,3375,2818,2806,19263,2672,2333,9579,8294,3394,3341
Joo Chiat Street,13000,946,9904,18487,18326,0,9903,10179,12423,9500,14967,16422,8008,33752,11472,8844,13791,25448,10107,8814,17197,15213,9743,9827
Marina Bay Sands Casino,1268,7568,2573,10588,3451,6761,0,795,15027,1477,7051,8506,2888,25747,5477,1325,2752,17443,1960,1706,9281,7297,160,244
Marina Bay Sands SkyPark,1187,7353,2492,26629,3234,6546,794,0,14812,1773,7504,14558,2671,26043,5461,1031,3048,17739,1880,1625,9727,7750,777,684
NEWater Visitor Centre,19000,7652,14739,26388,13951,9345,16371,15558,0,14880,22852,24307,13387,39132,17308,17080,21448,30828,15487,14194,25082,23098,16211,16295
Raffles Place,1149,8824,1145,9659,3189,9511,1477,1773,14893,0,6122,7577,2626,24256,4211,1985,1489,15952,617,930,8352,6368,1317,1401
Resort World Sentosa Casino,7400,26041,5976,6807,8048,14199,21268,21008,21508,6433,0,2400,17904,25360,7255,20045,5685,19220,6245,7720,3175,365,21108,21192
Sentosa Skyline Luge and Skyride,8000,27489,7424,8255,9496,15647,22716,22456,25479,10592,2400,0,19352,27520,8665,21493,8766,20668,7693,9130,1044,2647,22556,22640
Singapore Bazaar and Flea Market,1860,8583,1951,11691,751,7777,2888,2671,16042,2626,8536,9267,0,27003,3405,2317,2395,18699,2174,1770,10067,8782,2831,2778
Singapore Discovery Centre,24000,33073,26276,18965,26099,33760,25746,29172,39142,24255,26616,26101,27001,0,21666,26830,23451,9806,24862,25731,26901,26862,25586,25670
Singapore F1 Grand Prix,3870,10198,3063,13305,3379,9887,7189,6929,17305,4211,9768,14017,3389,27240,0,5965,2895,18936,3676,3716,11998,10014,7029,7113
Singapore Flyer,958,7027,2401,26303,2818,6220,1325,1245,14486,1985,8205,9660,2317,26832,5468,0,3229,18528,1788,1466,10435,8451,1269,1215
Singapore River,2351,9890,952,9944,2854,9084,2752,3048,15434,1489,6407,10480,2395,23454,2900,3229,0,15150,1559,1862,8637,6653,2592,2676
Science Centre Singapore,17000,24733,42944,8659,17212,25420,45229,18781,30802,15915,14853,15472,17493,13528,39920,43498,15111,0,16522,42399,16272,15100,45069,45153
Statues of Sir Stamford Raffles,937,7977,609,10374,2672,7171,1960,1880,15436,617,6245,7693,2174,24863,3676,1788,1559,16559,0,498,8468,6491,1903,1850
The Padang,488,7640,925,10969,2333,6834,1705,1625,15099,930,7433,8888,1770,25733,3716,1466,1862,17429,498,0,9663,7679,1649,1596
Underwater World Singapore Pte Ltd,9100,28260,8195,9026,10267,16418,23487,23227,26044,8652,3171,1044,20123,27579,9435,22264,9331,21439,8464,9900,0,3418,23327,23411
Universal Studios Singapore,6300,26288,6223,7054,8295,14446,21515,21255,21755,6680,365,2647,18151,25607,7502,20292,5932,19467,6492,7967,3422,0,21355,21439
Wonder Full at Marina Bay Sands,1211,7511,2516,10428,3394,6704,160,738,14970,1317,6891,8346,2831,25587,5420,1268,2592,17283,1903,1649,9121,7137,0,84
Marina Bay Sands,1158,7458,2463,10512,3341,6651,244,684,14917,1401,6975,8430,2778,25671,5367,1215,2676,17367,1850,1596,9205,7221,84,0
