,Esplanade - Theatres on the Bay,Geylanf Serai Market,G-Max Reverse Bungy,Haw Par Villa,House of Tan Teng Niah,Joo Chiat Street,Marina Bay Sands Casino,Marina Bay Sands SkyPark,NEWater Visitor Centre,Raffles Place,Resort World Sentosa Casino,Sentosa Skyline Luge and Skyride,Singapore Bazaar and Flea Market,Singapore Discovery Centre,Singapore F1 Grand Prix,Singapore Flyer,Singapore River,Science Centre Singapore,Statues of Sir Stamford Raffles,The Padang,Underwater World Singapore Pte Ltd,Universal Studios Singapore,Wonder Full at Marina Bay Sands,Marina Bay Sands
Esplanade - Theatres on the Bay,0,2200,1060,2940,1893,2200,941,901,3480,842,2780,2940,1440,3720,3144,730,1844,3000,674,385,3540,2580,901,860
Geylanf Serai Market,2200,0,2455,3286,4256,698,5085,4906,3000,1891,3559,4703,2118,4625,3573,2904,4785,3801,2342,2060,5328,3737,4961,5022
G-Max Reverse Bungy,1045,2917,0,3032,1855,3160,1877,1837,5097,829,2313,2116,1471,3996,2403,1767,757,3172,429,680,2755,2491,1837,1796
Haw Par Villa,2940,3629,3289,0,2337,4112,3166,2987,5043,2311,2978,2119,2345,3365,2759,3154,3510,2849,2762,2720,2758,3156,3042,3103
House of Tan Teng Niah,1860,3173,1857,2200,0,3416,2633,2488,4089,2390,2379,2182,586,4304,2719,2172,2322,3480,1991,1775,2821,2557,2593,2552
Joo Chiat Street,2200,702,2888,3790,3029,0,3606,3253,3778,2379,4063,5207,2606,5113,4236,3325,3636,4289,2830,2548,5832,4241,3482,3543
Marina Bay Sands Casino,936,2914,1882,3453,2653,3157,0,626,5094,1109,3726,4870,2227,4274,2863,1012,2136,3450,1428,1259,5495,3904,124,185
Marina Bay Sands SkyPark,870,2751,1816,4319,2470,2994,600,0,4931,1318,2944,5034,2043,4484,2753,775,2345,3660,1362,1192,4732,3122,552,485
NEWater Visitor Centre,3480,2935,3721,6073,3807,3713,4271,4031,0,3157,6346,5120,3384,5891,4346,5132,4568,5067,3608,3326,5759,6524,4147,4208
Raffles Place,842,1878,842,2779,2424,2374,1103,1358,3152,0,3052,4196,1989,3154,3270,1481,1183,2330,441,680,4821,3230,979,1040
Resort World Sentosa Casino,2780,5174,2333,2302,2378,4187,4711,4532,5301,2640,0,1871,3890,4910,3347,4699,2427,4394,2514,3389,2496,263,4587,4648
Sentosa Skyline Luge and Skyride,2940,6316,3475,3444,3520,5329,4089,5674,6350,3618,1857,0,3898,5632,4472,5841,3422,5536,3656,4514,835,2035,3965,4026
Singapore Bazaar and Flea Market,1376,2749,1458,3349,562,2992,2178,2034,4929,1933,2730,2533,0,3863,2700,1774,1965,3039,1602,1319,3172,2908,2138,2097
Singapore Discovery Centre,3720,4565,3911,3315,4024,5061,4221,4461,5839,3107,4787,4677,3814,0,3809,4360,3985,2497,3558,3516,5316,4965,4097,4158
Singapore F1 Grand Prix,3032,3571,2326,3487,2658,2914,2857,2678,4325,1413,3820,4672,2646,5066,0,2845,2239,4242,2759,2790,5589,3998,2733,2794
Singapore Flyer,709,2519,1756,4087,2156,2762,999,958,4699,1459,3870,5014,1789,4428,2601,0,2458,3604,1302,1108,5639,4048,959,918
Singapore River,1771,3624,729,2673,2315,3867,2060,2315,5734,1110,3006,3751,1956,4010,2330,2406,0,3186,1166,1406,4775,3184,1936,1997
Science Centre Singapore,3000,3667,5113,2923,3670,4163,5589,3937,4941,2209,3840,3543,3902,4153,4718,5562,3087,0,2660,4718,4182,4018,5465,5526
Statues of Sir Stamford Raffles,684,2669,451,3046,2047,2912,1444,1404,4849,453,2546,3709,1674,3613,2879,1334,1245,2789,0,378,4334,2724,1404,1363
The Padang,365,2407,675,3021,1791,2650,1246,1206,4587,665,3294,4438,1355,3583,2895,1108,1459,2759,345,0,5063,3472,1206,1166
Underwater World Singapore Pte Ltd,3540,5970,4115,4084,4160,5969,4909,4730,7244,4422,2497,796,4538,6692,5292,5347,4316,5868,4296,4564,0,2675,4785,4846
Universal Studios Singapore,2580,5352,2511,2480,2556,4365,4889,4710,5479,2818,263,2049,4068,5088,3525,4877,2605,4572,2692,3567,2674,0,4765,4826
Wonder Full at Marina Bay Sands,896,2874,1842,3329,2613,3117,124,586,5054,985,3602,4746,2187,4150,2823,972,2012,3326,1388,1219,5371,3780,0,61
Marina Bay Sands,856,2835,1802,3389,2574,3078,184,519,5015,1045,3662,4806,2147,4210,2784,932,2072,3386,1348,1179,5431,3840,60,0
