,Esplanade - Theatres on the Bay,Geylanf Serai Market,G-Max Reverse Bungy,Haw Par Villa,House of Tan Teng Niah,Joo Chiat Street,Marina Bay Sands Casino,Marina Bay Sands SkyPark,NEWater Visitor Centre,Raffles Place,Resort World Sentosa Casino,Sentosa Skyline Luge and Skyride,Singapore Bazaar and Flea Market,Singapore Discovery Centre,Singapore F1 Grand Prix,Singapore Flyer,Singapore River,Science Centre Singapore,Statues of Sir Stamford Raffles,The Padang,Underwater World Singapore Pte Ltd,Universal Studios Singapore,Wonder Full at Marina Bay Sands,Marina Bay Sands
Esplanade - Theatres on the Bay,0,7.73845,5.5544,10.22225,9.7289,7.36335,5.04345,5.45045,12.71375,5.2101,8.6234,8.7543,5.01485,21.64575,11.21995,4.68485,5.75845,17.26995,5.7029,4.6898,9.3406,8.29065,5.0297,5.45045
Geylanf Serai Market,7.97275,0,10.5495,15.0166,9.0051,4.38895,7.9348,10.1106,10.08805,8.36875,13.41775,13.54865,9.54245,20.92195,10.49615,7.5762,11.3646,16.54615,8.86155,7.8479,14.13495,13.085,7.92105,10.1106
G-Max Reverse Bungy,6.4729,10.61275,0,10.04185,5.56155,11.6209,6.17315,7.9425,14.78505,5.25025,8.50955,8.6399,5.40755,16.31295,5.88,6.07635,4.8504,12.4239,5.7436,5.81455,9.22675,8.17625,6.21935,7.9425
Haw Par Villa,15.65735,15.11835,9.36755,0,16.2486,14.1333,10.3504,10.3911,19.4023,9.09475,8.41275,8.5431,10.8223,12.5427,8.6124,15.26025,9.70415,8.65365,9.543,9.61395,9.12995,8.07945,10.39715,10.3911
House of Tan Teng Niah,8.8456,7.7148,5.82555,13.0927,0,7.80775,8.80765,12.30015,14.12065,6.4982,11.4889,11.6198,4.84655,18.3232,6.4135,8.44905,6.0978,15.47475,6.991,5.69905,12.2061,11.1556,8.7939,12.30015
Joo Chiat Street,8.0646,4.48135,11.71935,16.18645,10.17495,0,8.0261,11.281,10.62265,8.46005,14.58815,14.7185,10.7123,22.0918,11.666,7.6675,12.53445,17.716,8.95285,7.93975,15.3048,14.25485,8.01235,11.281
Marina Bay Sands Casino,4.6183,9.55345,6.2826,11.0764,10.4571,8.5684,0,4.9879,13.8374,5.3333,9.47755,9.60845,5.74305,18.3804,11.94815,4.6711,6.48665,14.49135,5.72435,5.418,10.19475,9.14425,3.94015,4.9879
Marina Bay Sands SkyPark,6.2232,8.93085,6.7853,16.6765,10.148,7.94635,6.18525,0,13.21535,6.441,9.85485,9.9852,5.6831,22.06485,11.63905,5.82665,6.98935,17.68905,6.93435,5.9207,10.57205,9.52155,6.1715,0
NEWater Visitor Centre,15.1651,9.0436,14.8582,19.3253,13.3138,9.25755,14.37915,14.41985,0,15.0276,17.727,17.85735,13.85115,25.23065,14.80485,14.76855,15.6733,20.85485,15.52095,14.8626,18.4442,17.3937,14.42535,14.41985
Raffles Place,6.3167,11.5989,5.04565,9.71405,6.59005,11.1006,5.62425,5.85415,15.7712,0,8.1152,8.24555,6.4366,16.66495,6.82435,5.92015,5.2497,12.7759,5.1947,5.26565,8.8324,7.7819,5.67045,5.85415
Resort World Sentosa Casino,13.69055,13.1521,7.40075,7.79565,14.2818,12.16705,8.38415,8.42485,17.43605,7.12795,0,6.63075,8.88135,16.62975,8.6344,13.294,7.44035,12.74125,7.5762,7.64715,7.21705,4.2333,8.43035,8.42485
Sentosa Skyline Luge and Skyride,15.28445,14.746,8.99465,9.38955,15.8757,13.76095,9.97805,10.01875,19.02995,8.72185,6.14015,0,10.47525,18.22365,10.2283,14.8879,9.0348,14.33515,9.1701,9.24105,4.4863,5.80685,10.02425,10.01875
