,Esplanade - Theatres on the Bay,Geylanf Serai Market,G-Max Reverse Bungy,Haw Par Villa,House of Tan Teng Niah,Joo Chiat Street,Marina Bay Sands Casino,Marina Bay Sands SkyPark,NEWater Visitor Centre,Raffles Place,Resort World Sentosa Casino,Sentosa Skyline Luge and Skyride,Singapore Bazaar and Flea Market,Singapore Discovery Centre,Singapore F1 Grand Prix,Singapore Flyer,Singapore River,Science Centre Singapore,Statues of Sir Stamford Raffles,The Padang,Underwater World Singapore Pte Ltd,Universal Studios Singapore,Wonder Full at Marina Bay Sands,Marina Bay Sands
Esplanade - Theatres on the Bay,0,6979,3008,11495,10598,6297,2079,2819,16025,2382,8588,8826,2027,32265,13309,1427,3379,24309,3278,1436,9892,7983,2054,2819
Geylanf Serai Market,7405,0,12090,20212,9282,889,7336,11292,11251,8125,17305,17543,10259,30949,11993,6684,13572,22993,9021,7178,18609,16700,7311,11292
G-Max Reverse Bungy,4678,12205,0,11167,3021,14038,4133,7350,19791,2455,8381,8618,2741,22569,3600,3957,1728,15498,3352,3481,9685,7775,4217,7350
Haw Par Villa,21377,20397,9941,0,22452,18606,11728,11802,28186,9445,8205,8442,12586,15714,8568,20655,10553,8643,10260,10389,9509,7599,11813,11802
House of Tan Teng Niah,8992,6936,3501,16714,0,7105,8923,15273,18583,4724,13798,14036,1721,26224,4570,8271,3996,21045,5620,3271,15102,13192,8898,15273
Joo Chiat Street,7572,1057,14217,22339,11409,0,7502,13420,12223,8291,19433,19670,12386,33076,14120,6850,15699,25120,9187,7345,20736,18827,7477,13420
Marina Bay Sands Casino,1306,10279,4332,13048,11922,8488,0,1978,18068,2606,10141,10379,3351,26328,14633,1402,4703,19257,3317,2760,11445,9535,73,1978
Marina Bay Sands SkyPark,4224,9147,5246,23230,11360,7357,4155,0,16937,4620,10827,11064,3242,33027,14071,3503,5617,25071,5517,3674,12131,10221,4130,0
NEWater Visitor Centre,20482,9352,19924,28046,17116,9741,19053,19127,0,20232,25140,25377,18093,38783,19827,19761,21406,30827,21129,19932,26444,24534,19137,19127
Raffles Place,4394,13998,2083,10571,4891,13092,3135,3553,21584,0,7664,7901,4612,23209,5317,3673,2454,16138,2354,2483,8968,7058,3219,3553
Resort World Sentosa Casino,17801,16822,6365,7083,18876,15031,8153,8227,24611,5869,0,4965,9057,23145,8608,17080,6437,16075,6684,6813,6031,606,8237,8227
Sentosa Skyline Luge and Skyride,20699,19720,9263,9981,21774,17929,11051,11125,27509,8767,4073,0,11955,26043,11506,19978,9336,18973,9582,9711,1066,3467,11135,11125
Singapore Bazaar and Flea Market,13076,10730,4558,17119,668,12563,14932,15006,18316,5781,14203,14441,0,26076,4407,12354,5053,18120,6677,12849,15507,13597,15016,15006
Singapore Discovery Centre,34336,31991,22776,16136,26954,32309,25430,25504,39576,23335,23786,24023,24393,0,20966,33615,22297,10254,24231,34109,25089,23180,25515,25504
Singapore F1 Grand Prix,14211,11866,4038,8901,3776,13698,8746,8820,19451,4738,8702,8939,4754,25129,0,13489,3145,17173,5635,13984,10006,8096,8831,8820
Singapore Flyer,721,9680,3748,12236,11338,7889,1038,2373,17469,3122,9329,9566,2767,33005,14049,0,4119,25049,4019,2176,10633,8723,1013,2373
Singapore River,4530,12411,1355,10305,3226,13292,3271,3689,19996,1593,7519,7756,2946,21707,3805,3809,0,14636,2490,2619,8822,6913,3355,3689
Science Centre Singapore,25685,23339,16587,9947,18302,25172,19242,19316,30925,17146,17597,17834,18204,11158,16772,24963,16108,0,18043,25458,18901,16991,19326,19316
Statues of Sir Stamford Raffles,2679,7486,3164,11651,11104,6804,2610,2607,16532,2538,8744,8982,2298,32772,6397,1958,3535,17219,0,349,10048,8139,2585,2607
The Padang,2321,7127,2805,11293,10746,6445,2252,4275,16173,2179,8386,8623,1940,32413,6039,1599,3176,16860,3076,0,9690,7780,2227,4275
Underwater World Singapore Pte Ltd,19747,18768,8311,9029,20822,16977,10099,10173,26557,7815,3121,2252,11003,25091,10555,19026,8384,18021,8630,8759,0,2515,10183,10173
Universal Studios Singapore,17271,16291,5834,6552,18346,14500,7622,7696,24080,5339,606,4434,8527,22615,8078,16549,5907,15544,6154,6282,5500,0,7706,7696
Wonder Full at Marina Bay Sands,1233,10206,4259,12975,11849,8416,571,1905,17996,2533,10068,10306,3278,26255,14560,1329,4631,19184,3244,2687,11372,9463,0,1905
Marina Bay Sands,4224,9147,5246,23230,11360,7357,4155,0,16937,4620,10827,11064,3242,33027,14071,3503,5617,25071,5517,3674,12131,10221,4130,0
