,Esplanade - Theatres on the Bay,Geylanf Serai Market,G-Max Reverse Bungy,Haw Par Villa,House of Tan Teng Niah,Joo Chiat Street,Marina Bay Sands Casino,Marina Bay Sands SkyPark,NEWater Visitor Centre,Raffles Place,Resort World Sentosa Casino,Sentosa Skyline Luge and Skyride,Singapore Bazaar and Flea Market,Singapore Discovery Centre,Singapore F1 Grand Prix,Singapore Flyer,Singapore River,Science Centre Singapore,Statues of Sir Stamford Raffles,The Padang,Underwater World Singapore Pte Ltd,Universal Studios Singapore,Wonder Full at Marina Bay Sands,103.8609341\n'),('NEWater Visitor Centre', '1.3242462,103.9586772\n'),('Raffles Place', '1.2840999,103.8513269\n'),('Resort World Sentosa Casino', '1.255179,103.8218107\n'),('Sentosa Skyline Luge and Skyride', '1.251937,103.8169385\n'),('Singapore Bazaar and Flea Market', '1.3029901,103.8529751\n'),('Singapore Discovery Centre', '1.3326904,103.6789432\n'),('Singapore F1 Grand Prix', '1.3057861,103.8281196\n'),('Singapore Flyer', '1.2892988,103.8631368\n'),('Singapore River', '1.2891166,103.8404664\n'),('Science Centre Singapore', '1.3332332,103.7362246\n'),('Statues of Sir Stamford Raffles', '1.2877221,103.8507546\n'),('The Padang', '1.2905564,103.8530438\n'),('Underwater World Singapore Pte Ltd', '1.258183,103.811225\n'),('Universal Studios Singapore', '1.2540421,103.8238084\n'),('Wonder Full at Marina Bay Sands', '1.2842083,103.8582327\n')
Esplanade - Theatres on the Bay,0,6979,3008,11739,10598,6297,2079,3897,16025,2382,8595,8832,2027,32265,13309,1427,3379,24309,3278,1436,9899,7989,2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geylanf Serai Market,7405,0,12090,19143,9282,889,7336,10223,11251,8125,16236,16473,10259,30949,11993,6684,13572,22993,9021,7178,17540,15630,7311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G-Max Reverse Bungy,5392,14562,0,11167,9331,14154,3553,3971,22147,2455,8381,8618,2831,22569,3600,4671,1728,15498,3352,3481,9685,7775,3637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haw Par Villa,21377,20397,9941,0,22452,18606,11728,11802,28186,9445,8205,8442,23429,15714,8568,20655,10553,8643,10260,10389,9509,7599,11813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House of Tan Teng Niah,8992,6936,4105,16714,0,7105,9057,9475,18583,7960,13798,14036,1721,26224,4570,8271,3996,21045,8856,3271,15102,13192,9141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joo Chiat Street,7572,1057,14217,18756,11409,0,7502,9836,12223,8291,15849,16087,12386,33076,14120,6850,15699,24965,11065,7345,17153,15243,7477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marina Bay Sands Casino,1306,10279,4332,13048,11922,8488,0,1978,18068,2606,10141,10379,3351,26328,14633,1402,4703,19257,3317,2760,11445,9535,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marina Bay Sands SkyPark,4224,9147,5246,25044,11360,7357,4155,0,16937,4620,22137,22375,3242,33027,14071,3503,5617,25071,5517,3674,23441,21531,4130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWater Visitor Centre,20482,9352,19924,28046,17116,9741,19053,19127,0,20232,25140,25377,18093,38783,19827,19761,21406,30827,21129,19932,26444,24534,19137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raffles Place,4394,13998,2083,10815,8767,15831,2555,2973,21584,0,7670,7908,9745,23209,5317,3673,2454,16138,2354,2483,8974,7065,2639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
