,Esplanade - Theatres on the Bay,Geylanf Serai Market,G-Max Reverse Bungy,Haw Par Villa,House of Tan Teng Niah,Joo Chiat Street,Marina Bay Sands Casino,Marina Bay Sands SkyPark,NEWater Visitor Centre,Raffles Place,Resort World Sentosa Casino,Sentosa Skyline Luge and Skyride,Singapore Bazaar and Flea Market,Singapore Discovery Centre,Singapore F1 Grand Prix,Singapore Flyer,Singapore River,Science Centre Singapore,Statues of Sir Stamford Raffles,The Padang,Underwater World Singapore Pte Ltd,Universal Studios Singapore,Wonder Full at Marina Bay Sands
Esplanade - Theatres on the Bay,0,4629,1060,7889,1893,4646,941,901,10087,842,5021,6151,1440,17817,3144,730,1844,11996,674,385,6776,5199,901
Geylanf Serai Market,4566,0,5310,12277,4478,698,5294,5040,5526,5259,9409,10538,4378,21282,6987,4570,6077,15839,5010,4749,11164,9587,5246
G-Max Reverse Bungy,1045,5303,0,7240,1855,5435,1877,1837,10761,829,4649,5779,1471,17064,2403,1767,757,11344,429,680,6404,4827,1837
Haw Par Villa,7840,12303,7126,0,8379,12320,7879,8132,17761,7068,5111,6275,8164,11601,6133,8479,6441,6209,7479,7721,6900,5289,7755
House of Tan Teng Niah,1860,4483,1857,8486,0,4801,2633,2488,9940,2390,6238,7368,586,16901,2719,2172,2322,11411,1991,1775,7994,6416,2593
Joo Chiat Street,4593,702,5390,12304,4892,0,5250,5068,5784,5286,9436,10566,4666,21641,7242,4597,6174,16094,5037,4776,11191,9614,5210
Marina Bay Sands Casino,936,5336,1882,7923,2653,5247,0,626,10794,1109,5055,6185,2227,18385,4106,1012,2136,12665,1428,1259,6810,5233,124
Marina Bay Sands SkyPark,870,5054,1816,8127,2470,5072,600,0,10513,1318,5260,6389,2043,18594,4040,775,2345,12892,1362,1192,7014,5438,552
NEWater Visitor Centre,10058,5557,10802,17769,9962,5797,10786,10533,0,10751,14901,16031,9803,26766,12411,10062,11569,21263,10502,10241,16656,15079,10738
Raffles Place,842,5339,842,7115,2424,5356,1103,1358,10797,0,4247,5377,1989,17432,3270,1481,1183,11712,441,680,6002,4425,979
Resort World Sentosa Casino,5044,9507,4651,5136,6260,9524,5092,5346,14965,4272,0,1871,5876,16528,5393,5683,4228,11122,4655,4897,2496,263,4968
Sentosa Skyline Luge and Skyride,6154,10616,5761,6279,7369,10634,6202,6455,16075,5382,1857,0,6985,17671,6503,6793,5338,12264,5765,6006,835,2035,6078
Singapore Bazaar and Flea Market,1376,4356,1458,8250,562,4659,2178,2034,9814,1933,5839,6969,0,17103,2700,1774,1965,11553,1602,1319,7594,6017,2138
Singapore Discovery Centre,17712,21123,16865,11521,16740,21503,18240,18495,26579,17290,16438,17602,16972,0,14748,18401,16180,6066,17284,17535,18227,16616,18116
Singapore F1 Grand Prix,3032,6910,2326,6135,2658,7184,4010,3970,12368,3159,5332,6462,2646,14759,0,3721,2239,8938,2759,2790,7087,5510,3970
Singapore Flyer,709,4586,1756,8506,2156,4603,999,958,10044,1459,5638,6767,1789,18469,3796,0,2458,12648,1302,1108,7393,5816,959
Singapore River,1771,6040,729,6494,2315,6161,2060,2315,11498,1110,4215,5346,1956,16249,2330,2406,0,10529,1166,1406,5971,4393,1936
Science Centre Singapore,11938,15815,11207,6185,11414,16090,12582,12875,21274,11632,11094,12257,11551,6141,8973,12627,10522,0,11626,11726,12883,11272,12458
Statues of Sir Stamford Raffles,684,5094,451,7536,2047,5111,1444,1404,10552,453,4668,5798,1674,17436,2879,1334,1245,11716,0,378,6423,4846,1404
The Padang,365,4801,675,7751,1791,4818,1246,1206,10259,665,4883,6013,1355,17660,2895,1108,1459,11875,345,0,6638,5062,1206
Underwater World Singapore Pte Ltd,6794,11257,6401,6919,8009,11274,6842,7095,16715,6022,2497,796,7626,18311,7143,7433,5978,12904,6405,6647,0,2675,6718
Universal Studios Singapore,5222,9685,4829,5314,6438,9702,5270,5524,15143,4450,263,2049,6054,16706,5572,5861,4406,11300,4833,5075,2674,0,5146
Wonder Full at Marina Bay Sands,896,5296,1842,7799,2613,5207,124,586,10754,985,4931,6061,2187,18261,4066,972,2012,12541,1388,1219,6686,5109,0
