,ArtScience Museum,Asian Civilisation Museum,Changi Prison Chapel and Museum,Images of Singapore,Istana,Malay Heritage Centre,National Museum of Singapore,Peranakan Museum,Red Dot Design Museum,Singapore Art Museum,Singapore Philatelic Museum
ArtScience Museum,0,1179,4546,3127,2706,1746,1712,1856,555,1698,1529
Asian Civilisation Museum,1188,0,4431,2224,2085,1598,1105,856,995,1169,732
Changi Prison Chapel and Museum,4498,4555,0,5142,4797,3893,0,3934,4141,3660,4045
Images of Singapore,2653,2052,5023,0,2469,2827,0,2147,2406,2130,2023
Istana,2520,1942,4738,2481,0,2331,1263,1756,2122,1338,1797
Malay Heritage Centre,1718,1581,4840,2978,2482,0,1397,1632,1456,1276,1543
National Museum of Singapore,1597,1001,0,0,1338,1378,0,295,1809,274,406
Peranakan Museum,1800,772,3977,2243,1886,1611,316,0,1556,359,170
Red Dot Design Museum,555,991,4176,2450,2262,1483,1914,1584,0,1328,1576
Singapore Art Museum,1696,1093,3706,2247,1443,1481,295,365,1339,0,476
Singapore Philatelic Museum,1444,638,5199,2109,1871,1520,418,161,1539,461,0
