,ArtScience Museum,Asian Civilisation Museum,Changi Prison Chapel and Museum,Images of Singapore,Malay Heritage Centre,National Museum of Singapore,Peranakan Museum,Red Dot Design Museum,Singapore Art Museum,Singapore Philatelic Museum,Marina Bay Sands
ArtScience Museum,0,1179,4246,4725,1940,1712,1609,555,1652,1529,113
Asian Civilisation Museum,1188,0,4050,4200,1754,1105,856,995,1169,732,1301
Changi Prison Chapel and Museum,4554,4075,0,5198,4630,3720,4045,4197,3716,4037,4435
Images of Singapore,5617,3432,6103,0,4643,2160,4028,5355,3510,3991,5498
Malay Heritage Centre,1877,1667,3584,2858,0,1397,1383,2345,1193,1478,1990
National Museum of Singapore,1597,1001,3720,2160,1378,0,295,1809,274,406,1710
Peranakan Museum,1515,772,3677,2243,1381,316,0,1617,359,170,1628
Red Dot Design Museum,555,991,3876,4195,2424,1944,1712,0,1884,1588,436
Singapore Art Museum,1594,1093,3406,2247,1197,295,365,1820,0,476,1707
Singapore Philatelic Museum,1444,638,5079,2109,1466,418,161,1483,461,0,1557
Marina Bay Sands,112,1291,4126,4605,2052,1824,1721,435,1764,1641,0
