,ArtScience Museum,Asian Civilisation Museum,Changi Prison Chapel and Museum,Images of Singapore,Istana,Malay Heritage Centre,National Museum of Singapore,Peranakan Museum,Red Dot Design Museum,Singapore Art Museum,Singapore Navy Museum,Singapore Philatelic Museum
ArtScience Museum,0,755,1400,1628,983,559,430,334,664,497,1474,374
Asian Civilisation Museum,445,0,1373,1524,955,467,326,230,560,394,1654,270
Changi Prison Chapel and Museum,1559,1713,0,1946,1366,1372,1645,1522,1478,1634,1129,1573
Images of Singapore,1011,1140,1883,0,1466,1621,1745,1178,930,1735,2021,1157
Istana,906,828,2036,1443,0,952,669,527,738,844,2257,506
Malay Heritage Centre,659,989,1227,1662,810,0,1010,570,898,999,1694,656
National Museum of Singapore,730,652,1860,1267,380,776,0,351,562,668,2081,330
Peranakan Museum,823,745,1737,1360,544,496,157,0,655,225,2174,294
Red Dot Design Museum,167,433,1302,953,884,406,625,576,0,599,1386,607
Singapore Art Museum,400,997,1758,1611,566,428,410,203,906,0,1609,183
Singapore Navy Museum,1610,1781,1225,1997,1825,1454,2104,1624,1530,2094,0,1655
Singapore Philatelic Museum,762,685,1892,1299,593,539,206,48,594,274,2113,0
