,ArtScience Museum,Asian Civilisation Museum,Changi Prison Chapel and Museum,Images of Singapore,Malay Heritage Centre,National Museum of Singapore,Peranakan Museum,Red Dot Design Museum,Singapore Art Museum,Singapore Philatelic Museum,Marina Bay Sands
ArtScience Museum,0,755,1400,1512,559,430,334,387,497,374,357
Asian Civilisation Museum,445,0,1373,1409,467,326,230,321,394,270,518
Changi Prison Chapel and Museum,1559,1713,0,1946,1372,1484,1522,1478,1440,1573,1534
Images of Singapore,1011,1140,1883,0,1621,1370,1178,930,1326,1157,986
Malay Heritage Centre,659,989,1227,1662,0,1010,570,669,999,656,732
National Museum of Singapore,947,652,1554,1267,776,0,351,778,388,330,922
Peranakan Museum,511,745,1513,1360,496,157,0,872,225,294,1015
Red Dot Design Museum,167,433,1302,953,406,1003,576,0,959,607,143
Singapore Art Museum,400,997,1758,1611,428,410,203,1123,0,183,473
Singapore Philatelic Museum,979,685,1562,1299,539,206,48,811,274,0,955
Marina Bay Sands,25,580,1425,1103,583,454,358,329,522,399,0
