,ArtScience Museum,Asian Civilisation Museum,Changi Prison Chapel and Museum,Images of Singapore,Istana,Malay Heritage Centre,National Museum of Singapore,Peranakan Museum,Red Dot Design Museum,Singapore Art Museum,Singapore Philatelic Museum
ArtScience Museum,0,1179,13369,6040,3031,1940,1712,1609,555,1652,1529
Asian Civilisation Museum,1188,0,13382,5560,2367,1754,1105,856,995,1169,732
Changi Prison Chapel and Museum,13292,13265,0,18564,14251,12040,13109,13157,13818,12964,13251
Images of Singapore,5966,5467,18577,0,7034,6837,6073,5813,5437,6120,5689
Istana,2868,2177,14134,7005,0,2436,1263,1542,3094,1338,1648
Malay Heritage Centre,1877,1667,12028,6877,2539,0,1397,1383,2345,1193,1478
National Museum of Singapore,1597,1001,13077,6109,1338,1378,0,295,1809,274,406
Peranakan Museum,1515,772,13133,5870,1635,1381,316,0,1617,359,170
Red Dot Design Museum,555,991,13920,5509,3263,2424,1914,1712,0,1884,1588
Singapore Art Museum,1594,1093,12945,6183,1443,1197,295,365,1820,0,476
Singapore Philatelic Museum,1444,638,13218,5736,1737,1466,418,161,1483,461,0
