,Bukit Timah Nature Reserve,East Coast Park,Fort Canning Park,Gardens by the Bay,HortPark,Jurong Bird Park,Mandai Orchid Gardens,Marina Barrage,Merlion Park,Mount Faber Park,National Orchid Garden,Singapore Botanic Gardens,Singapore Butterfly and Insect Kingdom,Singapore Night Safari,Singapore Zoo,Sungei Buloh Nature Park,The Southern Ridges,Treetop Walk at MacRitche Reservoir,Marina Bay Sand
Bukit Timah Nature Reserve,0,2.8065,1.699,1.768,1.6995,3.2915,1.999,1.973,1.6295,2.215,1.3605,1.302,2.028,2.2785,2.1655,2.4975,1.577,2.6425,1.463
East Coast Park,2.4235,0,2.101,2.494,2.6875,3.9655,4.278,2.7295,1.853,2.718,2.402,2.3425,3.237,4.5575,4.4445,4.4225,2.7395,4.0935,2.189
Fort Canning Park,2.117,2.095,0,1.32,1.736,2.706,3.067,1.4695,0.586,1.5665,1.4055,1.479,2.2555,3.2255,3.1125,3.2975,1.4965,2.7225,1.053
Gardens by the Bay,2.5105,2.2575,1.365,0,1.556,2.9585,3.4605,0.4335,0.7925,2.254,2.2795,2.221,2.6495,3.5845,3.8765,3.55,1.4545,3.428,0.3495
HortPark,2.19,2.937,2.1705,2.281,0,2.83,3.0825,2.486,1.294,1.167,1.5765,1.612,2.006,3.362,3.249,3.581,0.217,2.9215,1.976
Jurong Bird Park,2.73,3.597,2.653,2.89,2.435,0,3.0915,3.1325,2.281,2.606,2.692,2.6335,2.8295,3.371,3.258,3.3365,2.3125,4.087,2.585
Mandai Orchid Gardens,1.8545,2.933,2.707,2.776,2.77,3.7885,0,2.981,2.6375,3.1845,2.3685,2.31,3.036,0.5275,0.4145,2.1955,2.6475,2.848,2.471
Marina Barrage,2.683,2.43,1.5375,0.4645,1.904,3.516,3.633,0,0.9645,2.1765,2.452,2.3935,1.933,4.1645,4.049,3.6385,1.8025,3.614,0.6535
Merlion Park,2.1995,1.9335,0.6605,0.82,1.394,2.3785,3.1495,0.9695,0,1.522,1.6135,2.1225,2.0765,3.0045,2.8915,2.97,1.2925,2.712,0.553
Mount Faber Park,2.612,2.9705,2.0105,2.432,1.1145,2.8365,3.2075,2.637,1.1685,0,1.9985,1.784,1.7835,3.487,3.374,4.003,0.9385,3.0575,2.127
National Orchid Garden,1.7025,2.3455,1.578,1.647,1.441,3.2425,2.5445,1.852,1.5085,2.0465,0,0.1035,1.872,2.824,2.711,3.043,1.3185,2.5795,1.342
Singapore Botanic Gardens,1.652,2.295,1.5275,1.5965,1.49,3.192,2.494,1.8015,1.458,1.996,0.11,0,1.8215,2.7735,2.6605,2.9925,1.3675,2.6285,1.2915
Singapore Butterfly and Insect Kingdom,3.191,3.854,2.064,3.131,2.19,3.5355,4.026,3.336,1.969,1.782,2.5415,2.483,0,4.3055,4.1925,4.5315,2.0885,3.876,2.826
Singapore Night Safari,2.363,3.4415,3.2155,3.2845,3.2785,4.297,0.507,3.4895,3.146,3.693,2.877,2.8185,3.5445,0,0.37,2.4725,3.156,3.125,2.9795
Singapore Zoo,2.2745,3.353,3.127,3.196,3.19,4.2085,0.4185,3.401,3.0575,3.6045,2.7885,2.73,3.456,0.394,0,2.384,3.0675,3.0365,2.891
Sungei Buloh Nature Park,2.2885,3.787,3.2055,3.588,3.171,3.5715,2.07,3.8255,3.1075,3.376,2.81,2.8455,3.6065,2.3495,2.2365,0,3.0485,4.074,3.3745
The Southern Ridges,2.094,2.841,2.052,2.185,0.221,2.7615,2.9865,2.39,1.1755,0.995,1.4805,1.516,1.8875,3.266,3.153,3.485,0,2.813,1.88
Treetop Walk at MacRitche Reservoir,2.6425,3.4375,2.721,3.038,2.8305,4.154,2.945,3.243,2.7625,3.0255,2.4695,2.505,3.1105,3.2245,3.1115,4.036,2.708,0,2.733
Marina Bay Sand,2.315,2.0625,1.1195,0.3655,1.6985,2.6835,3.265,0.6555,0.547,1.9365,2.31,2.2515,2.381,3.3095,3.1965,3.275,1.597,3.233,0
