,Bukit Timah Nature Reserve,Central Catchment Nature Reserve,East Coast Park,Fort Canning Park,Gardens by the Bay,HortPark,Jurong Bird Park,Kusu Island,Mandai Orchid Gardens,Marina Barrage,Merlion Park,Mount Faber Park,National Orchid Garden,Singapore Botanic Gardens,Singapore Butterfly and Insect Kingdom,Singapore Night Safari,Singapore Zoo,Sisters' Islands,Sungei Buloh Nature Park,The Southern Ridges,Sungei Buloh Nature Park,The Southern Ridges,Treetop Walk at MacRitche Reservoir
Bukit Timah Nature Reserve,0,1.456,2.4445,1.699,1.768,1.8495,2.8355,0,2.047,1.973,1.6295,2.0605,1.3605,0,1.302,0,2.2895,2.1765,0,2.2055,1.727,2.776,0
Central Catchment Nature Reserve,1.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8365,0
East Coast Park,2.508,0,0,1.891,1.915,2.7175,3.8985,0,3.417,2.0645,1.6045,2.609,2.4505,0,2.5525,0,3.7265,3.6135,0,3.943,2.6725,3.7475,0
Fort Canning Park,1.705,0,2.0485,0,1.1575,1.658,2.886,0,2.5575,1.3625,0.586,1.342,1.4705,0,1.5315,0,2.867,2.754,0,2.9395,1.5565,2.7825,0
Gardens by the Bay,1.81,0,2.188,1.1935,0,1.676,3.1385,1.5595,2.9605,0.4335,0.7925,1.7605,1.695,0,1.6365,0,3.27,3.157,1.5455,3.3425,1.5745,3.156,0
HortPark,1.989,0,2.7345,1.635,1.7855,0,2.936,0,2.942,2.1205,1.264,1.175,1.7865,0,1.7775,0,3.2515,3.1385,0,3.468,0.217,2.9515,0
Jurong Bird Park,2.777,0,4.2035,2.743,2.98,2.525,0,0,3.1425,3.2825,2.371,2.786,2.782,0,2.7235,0,3.452,3.339,0,3.4045,2.4025,4.147,0
Kusu Island,0,0,0,0,1.5785,0,0,0,0,1.7385,0,0,0,0,0,0,0,0,1.2465,0,0,0,0
Mandai Orchid Gardens,1.8545,0,3.1845,2.58,2.9625,2.9315,3.246,0,0,2.981,2.482,3.017,2.3685,0,2.31,0,0.5275,0.4145,0,2.0505,2.809,2.983,0
Marina Barrage,2.035,0,2.3605,1.4185,0.4645,2.024,3.5395,1.7515,3.2345,0,0.9645,2.164,1.92,0,1.8615,0,3.544,3.431,1.7375,3.6165,1.9225,3.677,0
Merlion Park,1.686,0,1.85,0.6605,0.82,1.454,2.5585,0,2.506,1.202,0,1.3325,1.548,0,1.5125,0,2.8155,2.7025,0,2.888,1.3525,2.772,0
Mount Faber Park,2.1395,0,2.621,1.526,1.717,1.1935,2.9445,0,3.0875,2.145,1.2585,0,1.8425,0,1.784,0.571,3.367,3.254,0,3.334,1.092,3.0875,0
National Orchid Garden,1.3545,0,2.4355,1.578,1.647,1.621,2.9085,0,2.7125,1.852,1.6085,1.8735,0,0,0.1035,0,2.8365,2.7235,0,2.7525,1.4985,2.6095,0
Singapore Botanic Gardens,1.304,0,2.385,1.5275,1.5965,1.67,2.858,0,2.662,1.8015,1.458,1.823,0.11,0,0,0,2.9835,2.8705,0,2.8015,1.5475,2.6585,0
Singapore Butterfly and Insect Kingdom,1.998,0,2.5495,1.2715,1.6455,1.24,3.022,0,3.083,1.8505,1.2105,0.5705,1.848,0,1.7895,0,3.453,3.34,0,3.465,1.1385,3.1735,0
Singapore Night Safari,2.304,0,3.5515,2.887,3.2695,3.2685,3.553,0,0.507,3.507,2.789,3.324,2.8255,0,2.861,0,0,0.37,0,2.3575,3.146,3.26,0
Singapore Zoo,2.2155,0,3.463,2.7985,3.181,3.18,3.4645,0,0.4185,3.4185,2.7005,3.2355,2.737,0,2.7725,0,0.394,0,0,2.269,3.0575,3.1715,0
Sisters' Islands,0,0,0,0,1.565,0,0,1.247,0,1.7245,0,0,0,0,0,0,0,0,0,0,0,0,0
Sungei Buloh Nature Park,2.2305,0,3.8085,3.017,3.3995,3.5255,3.563,0,2.0885,3.637,2.919,3.318,2.752,0,2.7875,0,2.398,2.285,0,0,3.403,4.104,0
The Southern Ridges,1.893,0,2.6965,1.5165,1.667,0.221,2.84,0,2.846,2.002,1.1455,1.0565,1.6905,0,1.709,0,3.1555,3.0425,0,3.372,0,2.843,0
Sungei Buloh Nature Park,2.5825,0.761,3.4675,2.7485,2.978,2.8605,4.274,0,2.702,3.183,2.6845,61301489\n'),2.2305,0,0,3.8085,3.017,3.3995,3.5255,3.563,0,2.0885,3.637
The Southern Ridges,1.893,0,0,2.69,1.5165,1.667,0.221,2.84,0,2.846,2.002,1.1455,1.0565,1.6905,0,1.709,0,3.1555,3.0425,0,0,3.372,0
Treetop Walk at MacRitche Reservoir,2.6725,0.761,0,3.4675,2.7485,2.978,2.8605,4.364,0,2.702,3.183,2.6845,3.0555,2.4995,0,2.535,0,2.9815,2.8685,0,0,4.0595,2.738
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0005,,,,,,,,,,,,,,,,,,
