,Bukit Timah Nature Reserve,Central Catchment Nature Reserve,East Coast Park,Fort Canning Park,Gardens by the Bay,HortPark,Jurong Bird Park,Kusu Island,Mandai Orchid Gardens,Marina Barrage,Merlion Park,Mount Faber Park,National Orchid Garden,Pulau Ubin,Singapore Botanic Gardens,Singapore Butterfly and Insect Kingdom,Singapore Night Safari,Singapore Zoo,Sisters' Islands,Sungei Buloh Nature Park,The Southern Ridges,Treetop Walk at MacRitche Reservoir,Marina Bay Sands
Bukit Timah Nature Reserve,0,5100,21197,16136,17917,11741,12762,21671,11588,20362,18573,13498,10027,68627,10102,16980,13110,12778,19494,18192,10020,13627,18612
Central Catchment Nature Reserve,6539,0,23899,14632,20873,14698,15730,24627,15764,23064,21274,16455,11934,71329,11479,19937,17286,16954,22451,22368,12977,16080,21569
East Coast Park,21233,23810,0,10377,10615,22848,32581,27489,26920,8755,10085,21263,19334,50066,15060,21157,28442,28110,25312,33524,21619,18559,11142
Fort Canning Park,14070,14646,16252,0,7586,11089,19762,15730,24877,14896,1984,7965,5763,63682,5647,9399,26398,26066,13554,26361,7495,15699,5138
Gardens by the Bay,21770,24347,9991,7449,0,11333,22004,15974,27457,9548,11370,9748,15456,56946,15598,9642,28979,28647,13797,34061,10104,19096,2781
HortPark,15000,15290,18248,9582,10496,0,16084,12817,22171,17806,19628,4644,8992,65203,8759,7726,23693,23360,10641,28774,2883,17266,11191
Jurong Bird Park,15494,18091,31660,22127,23908,17805,0,27662,19738,31217,31612,19489,19132,78615,19889,22971,21259,20927,25485,19418,16011,26667,24603
Kusu Island,23811,24101,23108,14442,15356,12924,24896,0,30983,22666,24488,11346,17804,70064,17570,12597,32504,32172,2177,37586,11695,26078,16052
Mandai Orchid Gardens,10665,15556,27359,25356,27068,23397,19073,33254,0,26524,24734,25081,19091,70183,16263,28563,1519,1187,31077,10072,21603,13865,27803
Marina Barrage,22230,24807,7754,8853,2545,11793,22464,16434,27917,0,8231,10208,15916,54709,16057,10102,29439,29107,14257,34521,10564,19556,3240
Merlion Park,23880,26458,12101,3677,2525,9346,20043,13987,29568,11659,0,7762,8139,59056,8023,7655,31089,30757,11811,36171,8117,21207,1936
Mount Faber Park,19852,20142,16813,8147,9061,6179,20937,11382,28987,16371,18193,0,14390,63768,11552,6291,30508,30176,9206,35590,4950,22664,9757
National Orchid Garden,9868,9874,18482,6226,12082,9794,17515,16937,15556,17647,15857,8764,0,65912,2612,11144,17078,16746,14760,22160,6733,10651,12778
Pulau Ubin,69442,72020,48040,55931,56169,71058,80790,87581,69935,54310,55640,69473,67544,0,63270,69367,71456,71124,73522,77755,69829,66769,56697
Singapore Botanic Gardens,8394,10051,16414,6172,16123,10094,17814,16883,15745,15579,13789,8710,2744,63844,0,11090,17267,16935,14706,22349,7033,10841,12724
Singapore Butterfly and Insect Kingdom,19714,20004,16675,8009,8923,7801,20799,12444,28848,16233,18055,6224,10872,63630,10756,0,30370,30038,10267,35452,6572,22526,9618
Singapore Night Safari,12066,16957,28759,26757,28469,24798,20474,34654,1399,27925,26135,26482,20492,71584,17664,29963,0,569,32478,11473,23004,15266,29204
Singapore Zoo,11734,16625,28427,26425,28137,24465,20141,34322,1066,27593,25803,26149,20160,71252,17332,29631,569,0,32146,11141,22672,14934,28871
Sisters' Islands,21635,21925,20932,12265,13180,10747,22720,2177,28806,20489,22311,9170,15627,67887,15394,10420,30328,29996,0,35410,9518,23901,13875
Sungei Buloh Nature Park,14735,23272,35075,34142,34785,31113,18726,40970,10054,34240,32450,32797,26807,77699,23979,36279,11576,11244,38793,0,29320,21353,35519
The Southern Ridges,12845,13134,17081,8415,9329,3061,13929,11650,20016,16639,18461,3477,6837,64036,6603,6559,21537,21205,9474,26619,0,15111,10025
Treetop Walk at MacRitche Reservoir,14914,17492,19012,16914,18722,17533,24778,26123,13118,18177,16388,17950,12809,69367,11531,22895,14640,14308,23946,20938,14472,0,19456
Marina Bay Sands,20046,22623,8679,2408,2160,11856,22527,16497,25733,8262,1786,10272,18147,55634,13873,10165,27255,26923,14321,32337,10627,17372,0
