,Bukit Timah Nature Reserve,Central Catchment Nature Reserve,East Coast Park,Fort Canning Park,Gardens by the Bay,HortPark,Jurong Bird Park,Kusu Island,Mandai Orchid Gardens,Marina Barrage,Merlion Park,Mount Faber Park,National Orchid Garden,Pulau Ubin,Singapore Botanic Gardens,Singapore Butterfly and Insect Kingdom,Singapore Night Safari
Bukit Timah Nature Reserve,0,5100,21197,16136,17917,11741,12762,21671,11588,20362,18573,13498,10027,68627,10102,16980,13110
Central Catchment Nature Reserve,6539,0,23899,14638,20873,14698,15730,24627,15764,23064,21274,16455,11934,71329,11479,19937,17286
East Coast Park,21233,23810,0,10377,10615,19233,29904,23874,26920,8755,10085,17648,19334,50066,15060,17542,28442
Fort Canning Park,13504,15161,15338,0,5146,11089,19762,15730,20904,14896,1984,7965,5763,62293,5647,9399,22426
Gardens by the Bay,21770,24347,9991,7449,0,11333,22004,15974,27457,9548,11370,9748,15456,56946,15598,9642,28979
HortPark,15000,15290,18248,9582,10496,0,16084,12817,22171,17806,19628,4644,8992,65203,8759,7726,23693
Jurong Bird Park,15494,18091,31660,22127,23908,17805,0,27662,19738,31217,31612,19489,19132,78615,19889,22971,21259
Kusu Island,23811,24101,23108,15474,15356,12924,24896,0,30983,22666,24488,11346,17804,70064,17570,12597,32504
Mandai Orchid Gardens,10665,15556,27359,25356,27068,23397,19073,33254,0,26524,24734,25081,19091,70183,16263,28563,1519
Marina Barrage,21936,24514,7754,8853,2545,17617,28288,22258,27624,0,8231,16032,21740,54709,15764,15926,29146
Merlion Park,21826,24404,9890,5635,2525,9346,20043,13987,27514,9474,0,7762,13496,56845,15654,7655,29035
Mount Faber Park,19852,20142,16813,8147,9061,6179,20937,11382,28987,16371,18193,0,14390,63768,11552,6291,30508
National Orchid Garden,9868,9874,18482,6226,8513,9794,17515,16937,15556,17647,15857,8764,0,65912,2612,11144,17078
Pulau Ubin,69442,72020,48040,55931,56169,64787,75458,69428,69935,54310,55640,63203,67544,0,63270,63096,71456
Singapore Botanic Gardens,8394,10051,16414,6172,8459,10094,17814,16883,15745,15579,13789,8710,2744,63844,0,11090,17267
Singapore Butterfly and Insect Kingdom,19714,20004,16675,8009,8923,7801,20799,12444,28848,16233,18055,6224,10872,63630,10756,0,30370
Singapore Night Safari,12066,16957,28759,26757,28469,24798,20474,34654,1399,27925,26135,26482,20492,71584,17664,29963,0
