,Bukit Timah Nature Reserve,Central Catchment Nature Reserve,East Coast Park,Fort Canning Park,Gardens by the Bay,HortPark,Jurong Bird Park,Kusu Island,Mandai Orchid Gardens,Marina Barrage,Merlion Park,Mount Faber Park,National Orchid Garden,Pulau Ubin,Singapore Botanic Gardens,Singapore Butterfly and Insect Kingdom,Singapore Night Safari,Singapore Zoo,Sister's Islands,Sungei Buloh Nature Park,The Southern Ridges,Treetop Walk at MacRitche Reservoir
Bukit Timah Nature Reserve,0,3832,18845,11469,13967,9597,11517,21325,12052,14480,12891,11233,7109,35030,7167,15461,13453,13187,20678,15571,9359,5889
Central Catchment Nature Reserve,3832,0,17884,11134,13478,11466,14823,21033,15357,13991,12402,12705,7233,32089,7217,16368,16758,16492,22547,18876,11228,2095
East Coast Park,18853,17870,0,8645,7982,14971,27257,15002,24803,6791,7628,12954,12428,20797,12637,15001,26204,25938,21350,33480,14723,16941
Fort Canning Park,11473,11134,8644,0,3414,6912,19424,10113,20392,3927,1526,5506,4730,26769,4938,7953,21793,21527,14310,26101,6663,11089
Gardens by the Bay,14048,13552,7982,3489,0,8788,21633,7787,22354,1207,2199,6771,7648,27288,7856,8624,23755,23489,14973,28675,8539,13430
HortPark,9589,11458,14926,6909,8840,0,14715,14749,20698,9748,7444,2669,5848,33256,6057,6631,22099,21833,11848,24173,536,12403
Jurong Bird Park,11493,14798,27431,19591,21867,14885,0,28012,18398,22776,20287,16690,16342,45299,16616,19911,19799,19533,25127,18489,15348,16856
Kusu Island,21193,21034,15026,10115,7789,14763,27843,0,29836,8281,8795,12746,14059,34770,14268,14576,31237,30971,20925,35909,14514,20912
Mandai Orchid Gardens,12070,15376,24795,20351,22255,20681,18420,29811,0,22768,21179,22317,18236,35743,18294,26545,1399,1133,31762,10314,20443,14182
Marina Barrage,14487,13991,6791,3928,1207,9729,22663,8253,22793,0,2638,7712,8087,26922,8295,9543,24194,23928,15892,29114,9480,13869
Merlion Park,12812,12402,7628,1527,2125,7457,20118,8794,21204,2638,0,5440,6135,26589,6344,7414,22605,22339,13763,27439,7208,12280
Mount Faber Park,11233,12705,13027,5579,6908,2669,16523,12817,22341,7817,5512,0,5664,31329,5873,4279,23742,23476,10120,25817,2257,12660
National Orchid Garden,7108,7233,12479,4781,7625,5897,16281,14101,18216,8138,6186,5716,0,30218,285,9378,19617,19351,15613,21735,5648,7188
Pulau Ubin,35112,32097,20802,26779,27062,33353,45169,34617,35743,26924,26453,31267,30233,0,30060,33782,37144,36878,40131,43961,33104,30600
Singapore Botanic Gardens,7167,7217,12639,4941,7785,6057,16554,14261,18276,8298,6346,5875,291,30052,0,9538,19677,19411,15773,21795,5808,7172
Singapore Butterfly and Insect Kingdom,15443,16368,15022,7954,8644,6625,19723,14596,26552,9563,7434,4278,9327,33705,9536,0,27952,27686,11887,30027,6376,16323
Singapore Night Safari,13471,16777,26196,21752,23656,22082,19821,31212,1399,24169,22580,23718,19637,37144,19695,27946,0,1038,33163,11715,21844,15583
Singapore Zoo,13205,16511,25930,21486,23390,21816,19555,30946,1133,23903,22314,23452,19371,36878,19429,27680,1038,0,32897,11449,21578,15317
Sister's Islands,20678,22547,21379,14312,15001,11859,24958,20953,31786,15920,13791,10120,15564,40062,15773,11906,33187,32921,0,35262,11611,22560
Sungei Buloh Nature Park,14993,18299,32895,25519,28017,23604,18510,35331,10319,28530,26941,25240,21159,43934,21217,29468,11720,11454,34685,0,23366,20357
The Southern Ridges,9359,11228,14677,6661,8591,536,15179,14500,20467,9499,7195,2257,5597,33007,5805,6394,21868,21602,11611,23943,0,12172
Treetop Walk at MacRitche Reservoir,5889,2095,16942,11089,13356,12396,16881,20912,14182,13869,12280,12660,7188,30592,7172,16323,15583,15317,22558,20934,12158,0
