,Esplanade - Theatres on the Bay,Geylanf Serai Market,G-Max Reverse Bungy,Haw Par Villa,House of Tan Teng Niah,Joo Chiat Street,Marina Bay Sands Casino,Marina Bay Sands SkyPark,NEWater Visitor Centre,Raffles Place,Resort World Sentosa Casino,Sentosa Skyline Luge and Skyride,Singapore Bazaar and Flea Market,Singapore Discovery Centre,Singapore F1 Grand Prix,Singapore Flyer,Singapore River,Science Centre Singapore,Statues of Sir Stamford Raffles,The Padang,Underwater World Singapore Pte Ltd,Universal Studios Singapore,Wonder Full at Marina Bay Sands,Marina Bay Sands
Esplanade - Theatres on the Bay,0,1.1,0.53,1.47,0.9465,1.1,0.4705,0.4505,1.74,0.421,1.39,1.47,0.72,1.86,1.572,0.365,0.922,1.5,0.337,0.1925,1.77,1.29,0.4505,0.43
Geylanf Serai Market,1.1,0,1.2275,1.643,2.128,0.349,2.5425,2.453,1.5,0.9455,1.7795,2.3515,1.059,2.3125,1.7865,1.452,2.3925,1.9005,1.171,1.03,2.664,1.8685,2.4805,2.511
G-Max Reverse Bungy,0.5225,1.4585,0,1.516,0.9275,1.58,0.9385,0.9185,2.5485,0.4145,1.1565,1.058,0.7355,1.998,1.2015,0.8835,0.3785,1.586,0.2145,0.34,1.3775,1.2455,0.9185,0.898
Haw Par Villa,1.47,1.8145,1.6445,0,1.1685,2.056,1.583,1.4935,2.5215,1.1555,1.489,1.0595,1.1725,1.6825,1.3795,1.577,1.755,1.4245,1.381,1.36,1.379,1.578,1.521,1.5515
House of Tan Teng Niah,0.93,1.5865,0.9285,1.1,0,1.708,1.3165,1.244,2.0445,1.195,1.1895,1.091,0.293,2.152,1.3595,1.086,1.161,1.74,0.9955,0.8875,1.4105,1.2785,1.2965,1.276
Joo Chiat Street,1.1,0.351,1.444,1.895,1.5145,0,1.803,1.6265,1.889,1.1895,2.0315,2.6035,1.303,2.5565,2.118,1.6625,1.818,2.1445,1.415,1.274,2.916,2.1205,1.741,1.7715
Marina Bay Sands Casino,0.468,1.457,0.941,1.7265,1.3265,1.5785,0,0.313,2.547,0.5545,1.863,2.435,1.1135,2.137,1.4315,0.506,1.068,1.725,0.714,0.6295,2.7475,1.952,0.062,0.0925
Marina Bay Sands SkyPark,0.435,1.3755,0.908,2.1595,1.235,1.497,0.3,0,2.4655,0.659,1.472,2.517,1.0215,2.242,1.3765,0.3875,1.1725,1.83,0.681,0.596,2.366,1.561,0.276,0.2425
NEWater Visitor Centre,1.74,1.4675,1.8605,3.0365,1.9035,1.8565,2.1355,2.0155,0,1.5785,3.173,2.56,1.692,2.9455,2.173,2.566,2.284,2.5335,1.804,1.663,2.8795,3.262,2.0735,2.104
Raffles Place,0.421,0.939,0.421,1.3895,1.212,1.187,0.5515,0.679,1.576,0,1.526,2.098,0.9945,1.577,1.635,0.7405,0.5915,1.165,0.2205,0.34,2.4105,1.615,0.4895,0.52
Resort World Sentosa Casino,1.39,2.587,1.1665,1.151,1.189,2.0935,2.3555,2.266,2.6505,1.32,0,0.9355,1.945,2.455,1.6735,2.3495,1.2135,2.197,1.257,1.6945,1.248,0.1315,2.2935,2.324
Sentosa Skyline Luge and Skyride,1.47,3.158,1.7375,1.722,1.76,2.6645,2.0445,2.837,3.175,1.809,0.9285,0,1.949,2.816,2.236,2.9205,1.711,2.768,1.828,2.257,0.4175,1.0175,1.9825,2.013
Singapore Bazaar and Flea Market,0.688,1.3745,0.729,1.6745,0.281,1.496,1.089,1.017,2.4645,0.9665,1.365,1.2665,0,1.9315,1.35,0.887,0.9825,1.5195,0.801,0.6595,1.586,1.454,1.069,1.0485
Singapore Discovery Centre,1.86,2.2825,1.9555,1.6575,2.012,2.5305,2.1105,2.2305,2.9195,1.5535,2.3935,2.3385,1.907,0,1.9045,2.18,1.9925,1.2485,1.779,1.758,2.658,2.4825,2.0485,2.079
Singapore F1 Grand Prix,1.516,1.7855,1.163,1.7435,1.329,1.457,1.4285,1.339,2.1625,0.7065,1.91,2.336,1.323,2.533,0,1.4225,1.1195,2.121,1.3795,1.395,2.7945,1.999,1.3665,1.397
Singapore Flyer,0.3545,1.2595,0.878,2.0435,1.078,1.381,0.4995,0.479,2.3495,0.7295,1.935,2.507,0.8945,2.214,1.3005,0,1.229,1.802,0.651,0.554,2.8195,2.024,0.4795,0.459
Singapore River,0.8855,1.812,0.3645,1.3365,1.1575,1.9335,1.03,1.1575,2.867,0.555,1.503,1.8755,0.978,2.005,1.165,1.203,0,1.593,0.583,0.703,2.3875,1.592,0.968,0.9985
Science Centre Singapore,1.5,1.8335,2.5565,1.4615,1.835,2.0815,2.7945,1.9685,2.4705,1.1045,1.92,1.7715,1.951,2.0765,2.359,2.781,1.5435,0,1.33,2.359,2.091,2.009,2.7325,2.763
Statues of Sir Stamford Raffles,0.342,1.3345,0.2255,1.523,1.0235,1.456,0.722,0.702,2.4245,0.2265,1.273,1.8545,0.837,1.8065,1.4395,0.667,0.6225,1.3945,0,0.189,2.167,1.362,0.702,0.6815
The Padang,0.1825,1.2035,0.3375,1.5105,0.8955,1.325,0.623,0.603,2.2935,0.3325,1.647,2.219,0.6775,1.7915,1.4475,0.554,0.7295,1.3795,0.1725,0,2.5315,1.736,0.603,0.583
Underwater World Singapore Pte Ltd,1.77,2.985,2.0575,2.042,2.08,2.9845,2.4545,2.365,3.622,2.211,1.2485,0.398,2.269,3.346,2.646,2.6735,2.158,2.934,2.148,2.282,0,1.3375,2.3925,2.423
Universal Studios Singapore,1.29,2.676,1.2555,1.24,1.278,2.1825,2.4445,2.355,2.7395,1.409,0.1315,1.0245,2.034,2.544,1.7625,2.4385,1.3025,2.286,1.346,1.7835,1.337,0,2.3825,2.413
Wonder Full at Marina Bay Sands,0.448,1.437,0.921,1.6645,1.3065,1.5585,0.062,0.293,2.527,0.4925,1.801,2.373,1.0935,2.075,1.4115,0.486,1.006,1.663,0.694,0.6095,2.6855,1.89,0,0.0305
Marina Bay Sands,0.428,1.4175,0.901,1.6945,1.287,1.539,0.092,0.2595,2.5075,0.5225,1.831,2.403,1.0735,2.105,1.392,0.466,1.036,1.693,0.674,0.5895,2.7155,1.92,0.03,0
