,Esplanade - Theatres on the Bay,Geylanf Serai Market,G-Max Reverse Bungy,Haw Par Villa,House of Tan Teng Niah,Joo Chiat Street,Marina Bay Sands Casino,Marina Bay Sands SkyPark,NEWater Visitor Centre,Raffles Place,Resort World Sentosa Casino,Sentosa Skyline Luge and Skyride,Singapore Bazaar and Flea Market,Singapore Discovery Centre,Singapore F1 Grand Prix,Singapore Flyer,Singapore River,Science Centre Singapore,Statues of Sir Stamford Raffles,The Padang,Underwater World Singapore Pte Ltd,Universal Studios Singapore,Wonder Full at Marina Bay Sands,Marina Bay Sands
Esplanade - Theatres on the Bay,0,926,701,1267,880,768,431,378,1242,503,1367,1449,536,1827,1145,288,727,1514,625,265,1831,1212,397,378
Geylanf Serai Market,948,0,1061,1358,920,228,963,992,1117,1136,1457,1540,1126,1867,1184,820,1190,1553,1257,897,1921,1302,929,992
G-Max Reverse Bungy,849,1154,0,1087,630,1252,846,939,1528,493,1213,1296,582,1589,656,720,347,1200,615,600,1678,1058,862,939
Haw Par Villa,1564,1281,916,0,1313,1199,767,737,1610,871,1151,1234,1317,1250,1168,1436,957,860,960,945,1615,996,783,737
House of Tan Teng Niah,1275,1224,704,1413,0,1204,1290,1267,1542,946,1531,1614,436,1789,805,1147,807,1527,1068,723,1996,1376,1255,1267
Joo Chiat Street,977,244,1211,1508,1070,0,991,1142,1065,1164,1607,1690,1276,2017,1335,848,1340,1704,1286,925,2072,1452,957,1142
Marina Bay Sands Casino,187,975,892,1024,1071,893,0,307,1304,538,1124,1206,727,1782,1336,268,918,1393,616,456,1588,969,14,307
Marina Bay Sands SkyPark,626,707,951,1483,792,625,640,0,1036,753,1617,1700,460,1739,1056,497,977,1425,875,515,2081,1462,606,0
NEWater Visitor Centre,1722,995,1537,1834,1396,1077,1498,1468,0,1594,1933,2016,1602,2343,1660,1593,1666,2029,1716,1611,2397,1778,1514,1468
Raffles Place,855,1417,581,1157,1105,1442,746,762,1791,0,1257,1339,1057,1825,1111,727,608,1436,515,500,1721,1102,762,762
Resort World Sentosa Casino,1529,1246,881,968,1278,1164,732,702,1575,836,0,859,1294,1543,1197,1400,929,1154,925,909,1240,121,748,702
Sentosa Skyline Luge and Skyride,2141,1858,1493,1581,1890,1776,1344,1314,2187,1448,917,0,1906,2155,1809,2013,1541,1766,1537,1522,382,762,1360,1314
Singapore Bazaar and Flea Market,1229,1034,671,1521,176,1132,1163,1133,1408,914,1639,1722,0,1683,662,1101,775,1369,1036,1178,2103,1484,1179,1133
Singapore Discovery Centre,2199,2004,1454,1220,1818,2018,1586,1556,2378,1599,1873,1956,1801,0,1688,2071,1487,785,1720,2148,2337,1718,1603,1556
Singapore F1 Grand Prix,1478,1283,673,1317,715,1382,1184,1155,1657,814,1419,1502,921,1631,0,1350,497,1317,936,1427,1884,1264,1201,1155
Singapore Flyer,129,906,833,1400,1013,824,222,346,1235,636,1499,1582,668,1960,1277,0,860,1646,757,397,1964,1344,188,346
Singapore River,779,1154,238,914,631,1229,670,686,1528,317,1040,1123,583,1417,657,651,0,1027,439,424,1505,885,686,686
Science Centre Singapore,1822,1627,1134,900,1441,1726,1266,1237,2001,1279,1553,1636,1481,745,1316,1694,1167,0,1401,1771,2017,1398,1283,1237
Statues of Sir Stamford Raffles,516,1029,727,1293,982,870,530,442,1344,529,1392,1475,557,1929,1256,387,753,1581,0,75,1857,1237,496,442
The Padang,439,952,651,1217,906,794,454,822,1268,453,1316,1399,481,1853,1180,311,677,1505,575,0,1781,1161,419,822
Underwater World Singapore Pte Ltd,1800,1517,1152,1240,1549,1435,1003,973,1847,1107,576,520,1565,1814,1468,1672,1200,1425,1196,1181,0,421,1019,973
Universal Studios Singapore,1491,1208,843,931,1240,1126,694,664,1538,798,155,821,1256,1505,1159,1363,891,1116,887,872,1203,0,710,664
Wonder Full at Marina Bay Sands,173,961,878,1010,1057,879,168,292,1290,524,1109,1192,712,1768,1321,254,904,1378,602,442,1574,954,0,292
Marina Bay Sands,626,707,951,1483,792,625,640,0,1036,753,1617,1700,460,1739,1056,497,977,1425,875,515,2081,1462,606,0
