,ArtScience Museum,Asian Civilisation Museum,Changi Prison Chapel and Museum,Images of Singapore,Malay Heritage Centre,National Museum of Singapore,Peranakan Museum,Red Dot Design Museum,Singapore Art Museum,Singapore Philatelic Museum,Marina Bay Sands
ArtScience Museum,0,1179,13369,6040,1940,1712,1609,555,1652,1529,113
Asian Civilisation Museum,1188,0,13382,5560,1754,1105,856,995,1169,732,1301
Changi Prison Chapel and Museum,13292,13265,0,18564,12040,13109,13157,13818,12964,13251,13406
Images of Singapore,5966,5467,18577,0,6837,6073,5813,5437,6120,5689,5847
Malay Heritage Centre,1877,1667,12028,6877,0,1397,1383,2345,1193,1478,1990
National Museum of Singapore,1597,1001,13077,6109,1378,0,295,1809,274,406,1710
Peranakan Museum,1515,772,13133,5870,1381,316,0,1617,359,170,1628
Red Dot Design Museum,555,991,13920,5509,2424,1944,1712,0,1884,1588,436
Singapore Art Museum,1594,1093,12945,6183,1197,295,365,1820,0,476,1707
Singapore Philatelic Museum,1444,638,13218,5736,1466,418,161,1483,461,0,1557
Marina Bay Sands,112,1291,13481,5920,2052,1824,1721,435,1764,1641,0
