,Bukit Timah Nature Reserve,Central Catchment Nature Reserve,East Coast Park,Fort Canning Park,Gardens by the Bay,HortPark,Jurong Bird Park,Kusu Island,Mandai Orchid Gardens,Marina Barrage,Merlion Park,Mount Faber Park,National Orchid Garden,Pulau Ubin,Singapore Botanic Gardens,Singapore Butterfly and Insect Kingdom,Singapore Night Safari,Singapore Zoo,Sisters' Islands,Sungei Buloh Nature Park,The Southern Ridges,Treetop Walk at MacRitche Reservoir,Marina Bay Sands
Bukit Timah Nature Reserve,0,2912,14030,8857,10544,7253,8983,13374,8959,10843,9630,8615,5338,25287,5417,11752,10017,9791,10555,11422,7015,4558,10120
Central Catchment Nature Reserve,2976,0,13304,8559,10108,8599,11436,12995,11413,10407,9193,9754,5408,22944,5363,12619,12470,12244,11901,13875,8360,1673,9683
East Coast Park,14237,13457,0,6599,5839,11452,20745,8394,18674,4922,5623,9937,9503,14681,9650,11299,19732,19506,10962,24826,11207,12862,5493
Fort Canning Park,8906,8591,6470,0,2640,5475,14853,4951,15368,2939,1172,4481,3672,19220,3819,6228,16425,16200,5858,19494,5229,8661,2106
Gardens by the Bay,10702,10232,5847,2730,0,6861,16577,3119,16812,867,1585,5346,5929,19558,6076,6574,17870,17644,6237,21290,6616,10274,699
HortPark,7341,8616,11298,5490,6748,0,11011,8519,15467,7380,5699,2334,4549,24237,4696,5186,16525,16299,3989,17950,434,9574,6138
Jurong Bird Park,8972,11361,20657,14940,16555,11099,0,18473,13902,17187,15352,12563,12321,32900,12515,14924,14959,14734,13727,13622,11489,13007,15945
Kusu Island,13562,13153,8438,5066,3157,8661,18534,0,19732,3477,3883,7146,8139,22479,8287,8351,20790,20564,8015,24222,8416,13194,3567
Mandai Orchid Gardens,9014,11403,18583,15353,16713,15460,13945,19600,0,17012,15799,16821,13520,25439,13599,19959,1055,829,18762,7553,15222,10607,16288
Marina Barrage,11046,10577,4992,3075,929,7588,17295,3503,17156,0,1929,6073,6273,19268,6421,7278,18214,17988,6941,21635,7342,10618,1307
Merlion Park,9922,9378,5642,1321,1640,5879,15439,3918,15958,1939,0,4364,4826,19017,4973,5705,17015,16790,5368,20510,5633,9419,1106
Mount Faber Park,8754,9879,9740,4413,5200,2229,12375,6971,16880,5832,4151,0,4541,22663,4688,3567,17938,17712,2815,19363,1877,9950,4590
National Orchid Garden,5421,5465,9387,3659,5863,4519,12347,7976,13547,6162,4706,4508,0,21689,207,7373,14605,14379,6754,16010,4274,5536,5329
Pulau Ubin,25542,23072,14680,19331,19469,24339,33034,22357,25576,19194,18848,22847,21805,0,21676,24487,26634,26408,24150,31750,24094,22054,19171
Singapore Botanic Gardens,5513,5442,9543,3815,6019,4675,12554,8132,13639,6318,4862,4664,220,21573,0,7529,14697,14471,6910,16101,4430,5513,5485
Singapore Butterfly and Insect Kingdom,11832,12675,11220,6227,6554,5168,14827,8290,19958,7195,5607,3564,7337,24477,7484,0,21016,20790,3905,22440,4922,12745,6001
Singapore Night Safari,10030,12420,19600,16370,17730,16476,14962,20617,1014,18029,16815,17838,14536,26456,14616,20975,0,740,19779,8570,16238,11623,17305
Singapore Zoo,9853,12243,19422,16193,17552,16299,14785,20440,837,17851,16638,17661,14359,26278,14438,20798,788,0,19601,8393,16061,11446,17128
Sisters' Islands,10682,11957,10893,5900,6227,4018,13677,7964,18808,6869,5280,2869,6937,24150,7084,3953,19866,19640,0,21291,3773,12346,5674
Sungei Buloh Nature Park,11178,13568,24376,19203,20890,17624,13796,23745,7686,21189,19976,18986,15684,31733,15763,22123,8744,8518,20926,0,17386,15214,20466
The Southern Ridges,7125,8400,11063,5254,6513,442,11415,8283,15251,7145,5463,1990,4306,24002,4453,4953,16308,16083,3756,17733,0,9357,5903
Treetop Walk at MacRitche Reservoir,4471,1522,12601,8493,10045,9437,12931,12932,10441,10344,9130,9688,5342,21774,5297,12553,11498,11272,11934,15370,9198,0,9620
Marina Bay Sands,10331,9861,5497,2239,731,6311,16027,3594,16441,1311,1094,4796,5438,19310,5585,6077,17499,17273,5740,20920,6066,9903,0
