,Abdul Gaffoor Mosque,Bright Hill Temple (Khong Meng San Phor Kark See Temple),Buddha Tooth Relic Temple,Cathedral of the Good Shepherd,Central Sikh Temple,Hajjah Fatimah Mosque,Jamae Mosque,Kwan Im Thong Hood Cho Temple,Leong San See Temple,Maghain Aboth Synagogue,Nagore Durgha Shrine,Siong Lim Temple,Sri Krishnan Temple,Sri Mariamman Temple,Sri Srinivasa Perumal Temple,Sri Thandayuthapani Temple,Sri Veeramakaliamman Temple,Sultan Mosque,Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),Thian Hock Keng Temple,Marina Bay Sands
Abdul Gaffoor Mosque,0,4.2685,1.594,0.576,1.0315,0.6295,1.449,0.2495,0.7965,0.4405,1.5545,2.231,0.28,1.487,0.6435,0.9385,0.287,0.4365,0.7835,1.615,1.416
Bright Hill Temple (Khong Meng San Phor Kark See Temple),4.11,0,6.0375,5.8845,4.14,4.846,5.6885,4.583,4.0095,5.0195,5.8755,3.0945,4.5515,5.757,4.8765,5.458,4.0925,4.6515,4.0265,5.885,8.3425
Buddha Tooth Relic Temple,1.594,5.767,0,1.051,2.806,1.6835,0.1705,1.3655,2.2965,1.1915,0.33,5.181,1.351,0.144,2.1435,1.0385,1.787,1.489,2.2835,0.2765,1.134
Cathedral of the Good Shepherd,0.576,8.593,1.051,0,1.521,0.897,0.906,0.3245,1.2765,0.137,1.011,3.256,0.31,0.944,1.1235,0.594,0.767,0.7145,1.2635,1.072,1.1155
Central Sikh Temple,1.0315,4.7505,2.72,1.521,0,1.1365,2.5705,1.188,0.318,1.379,2.7925,1.387,1.2185,2.7105,0.5,1.812,0.7795,1.1595,0.335,2.7365,2.3545
Hajjah Fatimah Mosque,0.6295,7.5715,1.6835,0.897,1.1365,0,1.5385,0.678,0.9545,0.868,1.681,2.3365,0.7265,1.5765,0.821,1.4335,0.767,0.231,0.961,1.7045,1.3235
Jamae Mosque,1.449,5.63,0.1705,0.906,2.749,1.5385,0,1.2205,2.1515,1.0465,0.2435,4.9515,1.2055,0.0635,1.9985,0.842,1.642,1.344,2.1385,0.253,1.0315
Kwan Im Thong Hood Cho Temple,0.251,4.41,1.3655,0.3245,1.1895,0.678,1.2205,0,1.0075,0.191,1.3255,3.353,0.0495,1.2585,0.8575,0.776,0.531,0.492,0.9975,1.3865,1.3655
Leong San See Temple,0.7965,4.054,2.2965,1.2765,0.318,0.9545,2.1515,1.006,0,1.19,2.2565,1.4455,1.0365,2.1895,0.1925,1.5675,0.5345,0.9775,0.0125,2.3175,2.1725
Maghain Aboth Synagogue,0.448,8.603,1.1915,0.137,1.3865,0.868,1.0465,0.191,1.19,0,1.152,3.235,0.1765,1.0845,1.0375,0.585,0.681,0.6885,1.1775,1.2125,1.2075
Nagore Durgha Shrine,1.5545,5.817,0.33,1.011,2.9535,1.681,0.238,1.3255,2.2565,1.152,0,4.8065,1.311,0.2425,2.1035,0.9985,1.747,1.449,2.2435,0.055,0.8895
Siong Lim Temple,2.231,3.5445,4.015,3.3285,1.387,2.3365,3.8655,2.8145,1.4455,3.817,9.845,0,2.783,3.9035,1.6295,3.7665,1.9765,2.589,1.4625,9.8965,9.29
Sri Krishnan Temple,0.28,8.7795,1.351,0.31,1.2185,0.7265,1.2055,0.0495,1.0365,0.1765,1.311,3.4025,0,1.244,0.8865,0.735,0.56,0.5405,1.0265,1.372,1.351
Sri Mariamman Temple,1.487,5.6725,0.144,0.944,2.711,1.5765,0.0635,1.2585,2.1895,1.0845,0.2425,4.984,1.244,0,2.0365,0.884,1.68,1.382,2.1765,0.252,1.064
Sri Srinivasa Perumal Temple,0.6435,4.124,2.1435,1.1235,0.5,0.821,1.9985,0.856,0.1925,1.0375,2.1035,1.6295,0.8865,2.0365,0,1.4145,0.3815,0.8445,0.1795,2.1645,2.0225
Sri Thandayuthapani Temple,0.937,9.2385,0.9905,0.5945,1.835,1.4325,0.842,0.7745,1.59,0.584,0.9985,3.7605,0.7335,0.884,1.437,0,1.0805,1.246,1.577,1.0115,1.544
Sri Veeramakaliamman Temple,0.287,4.1625,1.787,0.767,0.7795,0.766,1.642,0.5295,0.5345,0.681,1.747,1.9765,0.56,1.68,0.3815,1.058,0,0.5875,0.5215,1.808,1.696
Sultan Mosque,0.4365,7.7,1.489,0.707,1.1595,0.231,1.344,0.492,0.9775,0.6885,1.449,3.7435,0.5405,1.382,0.8445,1.2475,0.5875,0,0.9845,1.51,1.266
Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),0.7835,4.071,2.2835,1.2635,0.335,0.961,2.1385,0.996,0.0125,1.1775,2.2435,1.4625,1.0265,2.1765,0.1795,1.5545,0.5215,0.9845,0,2.3045,2.1625
Thian Hock Keng Temple,1.615,5.827,0.2765,1.072,2.9635,1.7045,0.2475,1.3865,2.3175,1.2125,0.055,5.0555,1.372,0.252,2.1645,1.0595,1.808,1.51,2.3045,0,0.943
Marina Bay Sands,1.416,8.3945,1.134,1.1155,3.7425,1.3235,1.026,1.3655,2.1725,1.2075,0.8835,4.763,1.351,1.064,2.0225,1.544,1.696,1.266,2.1625,0.943,0
