,Abdul Gaffoor Mosque,Bright Hill Temple (Khong Meng San Phor Kark See Temple),Buddha Tooth Relic Temple,Cathedral of the Good Shepherd,Central Sikh Temple,Hajjah Fatimah Mosque,Jamae Mosque,Kwan Im Thong Hood Cho Temple,Leong San See Temple,Maghain Aboth Synagogue,Nagore Durgha Shrine,Siong Lim Temple,Sri Krishnan Temple,Sri Mariamman Temple,Sri Srinivasa Perumal Temple,Sri Thandayuthapani Temple,Sri Veeramakaliamman Temple,Sultan Mosque,Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),Thian Hock Keng Temple,Marina Bay Sands
Abdul Gaffoor Mosque,0,8537,3188,1152,2063,1259,2898,499,1593,881,3109,4462,560,2974,1287,1877,574,873,1567,3230,2832
Bright Hill Temple (Khong Meng San Phor Kark See Temple),8220,0,12075,11769,8280,9692,11377,9166,8019,10039,11751,6189,9103,11514,9753,10916,8185,9303,8053,11770,16685
Buddha Tooth Relic Temple,3188,11534,0,2102,5612,3367,341,2731,4593,2383,660,10362,2702,288,4287,2077,3574,2978,4567,553,2268
Cathedral of the Good Shepherd,1152,17186,2102,0,3042,1794,1812,649,2553,274,2022,6512,620,1888,2247,1188,1534,1429,2527,2144,2231
Central Sikh Temple,2063,9501,5440,3042,0,2273,5141,2376,636,2758,5585,2774,2437,5421,1000,3624,1559,2319,670,5473,4709
Hajjah Fatimah Mosque,1259,15143,3367,1794,2273,0,3077,1356,1909,1736,3362,4673,1453,3153,1642,2867,1534,462,1922,3409,2647
Jamae Mosque,2898,11260,341,1812,5498,3077,0,2441,4303,2093,487,9903,2411,127,3997,1684,3284,2688,4277,506,2063
Kwan Im Thong Hood Cho Temple,502,8820,2731,649,2379,1356,2441,0,2015,382,2651,6706,99,2517,1715,1552,1062,984,1995,2773,2731
Leong San See Temple,1593,8108,4593,2553,636,1909,4303,2012,0,2380,4513,2891,2073,4379,385,3135,1069,1955,25,4635,4345
Maghain Aboth Synagogue,896,17206,2383,274,2773,1736,2093,382,2380,0,2304,6470,353,2169,2075,1170,1362,1377,2355,2425,2415
Nagore Durgha Shrine,3109,11634,660,2022,5907,3362,476,2651,4513,2304,0,9613,2622,485,4207,1997,3494,2898,4487,110,1779
Siong Lim Temple,4462,7089,8030,6657,2774,4673,7731,5629,2891,7634,19690,0,5566,7807,3259,7533,3953,5178,2925,19793,18580
Sri Krishnan Temple,560,17559,2702,620,2437,1453,2411,99,2073,353,2622,6805,0,2488,1773,1470,1120,1081,2053,2744,2702
Sri Mariamman Temple,2974,11345,288,1888,5422,3153,127,2517,4379,2169,485,9968,2488,0,4073,1768,3360,2764,4353,504,2128
Sri Srinivasa Perumal Temple,1287,8248,4287,2247,1000,1642,3997,1712,385,2075,4207,3259,1773,4073,0,2829,763,1689,359,4329,4045
Sri Thandayuthapani Temple,1874,18477,1981,1189,3670,2865,1684,1549,3180,1168,1997,7521,1467,1768,2874,0,2161,2492,3154,2023,3088
Sri Veeramakaliamman Temple,574,8325,3574,1534,1559,1532,3284,1059,1069,1362,3494,3953,1120,3360,763,2116,0,1175,1043,3616,3392
Sultan Mosque,873,15400,2978,1414,2319,462,2688,984,1955,1377,2898,7487,1081,2764,1689,2495,1175,0,1969,3020,2532
Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),1567,8142,4567,2527,670,1922,4277,1992,25,2355,4487,2925,2053,4353,359,3109,1043,1969,0,4609,4325
Thian Hock Keng Temple,3230,11654,553,2144,5927,3409,495,2773,4635,2425,110,10111,2744,504,4329,2119,3616,3020,4609,0,1886
Marina Bay Sands,2832,16789,2268,2231,7485,2647,2052,2731,4345,2415,1767,9526,2702,2128,4045,3088,3392,2532,4325,1886,0
