,Abdul Gaffoor Mosque,Bright Hill Temple (Khong Meng San Phor Kark See Temple),Buddha Tooth Relic Temple,Cathedral of the Good Shepherd,Central Sikh Temple,Hajjah Fatimah Mosque,Jamae Mosque,Kwan Im Thong Hood Cho Temple,Leong San See Temple,Maghain Aboth Synagogue,Nagore Durgha Shrine,Siong Lim Temple,Sri Krishnan Temple,Sri Mariamman Temple,Sri Srinivasa Perumal Temple,Sri Thandayuthapani Temple,Sri Veeramakaliamman Temple,Sultan Mosque,Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),Thian Hock Keng Temple,Marina Bay Sands
Abdul Gaffoor Mosque,0,1035,874,626,789,378,730,186,485,284,829,934,248,838,409,541,274,372,480,960,1154
Bright Hill Temple (Khong Meng San Phor Kark See Temple),1243,0,1279,1330,922,1237,1136,1110,1021,1095,1234,825,1172,1244,1117,1198,1031,1231,1027,1365,1417
Buddha Tooth Relic Temple,1248,1232,0,692,928,1242,419,928,989,767,377,1049,898,459,1005,558,1024,1237,984,344,620
Cathedral of the Good Shepherd,873,1269,933,0,996,754,790,277,692,136,888,1230,247,898,617,600,481,748,688,1019,491
Central Sikh Temple,554,857,912,992,0,580,768,645,354,742,867,490,707,876,429,831,614,575,360,998,1074
Hajjah Fatimah Mosque,706,990,905,593,743,0,762,796,503,893,864,611,858,979,581,1157,763,169,509,995,723
Jamae Mosque,1195,1178,323,580,874,1189,0,909,935,748,505,1104,879,216,952,539,971,1184,931,636,859
Kwan Im Thong Hood Cho Temple,709,1105,759,510,832,590,615,0,528,169,714,1067,133,723,453,426,317,584,524,845,1098
Leong San See Temple,473,838,713,765,371,497,570,563,0,529,668,605,625,678,155,632,310,492,5,799,1026
Maghain Aboth Synagogue,778,1174,839,341,902,659,695,161,598,0,794,1136,131,803,522,506,386,653,593,925,516
Nagore Durgha Shrine,1294,1277,279,678,973,1287,136,1007,1034,846,0,1015,977,314,1051,638,1069,694,1029,146,398
Siong Lim Temple,897,710,1014,863,657,760,871,845,696,830,988,0,907,979,771,934,767,740,702,1032,915
Sri Krishnan Temple,698,1094,747,499,821,579,604,30,517,157,703,1055,0,712,442,415,306,573,513,833,1087
Sri Mariamman Temple,1276,1259,142,719,955,1270,424,956,1016,794,383,1073,925,0,1033,586,1051,1264,1011,350,626
Sri Srinivasa Perumal Temple,513,891,766,817,380,506,623,603,153,582,721,614,665,731,0,685,414,501,159,852,1035
Sri Thandayuthapani Temple,954,990,515,351,686,835,371,508,725,347,470,915,478,479,698,0,563,829,721,601,855
Sri Veeramakaliamman Temple,414,1060,924,847,538,560,781,407,234,504,879,772,469,889,158,761,0,554,229,1010,1193
Sultan Mosque,796,1080,742,430,833,447,599,288,592,373,701,701,357,816,670,994,853,0,598,832,662
Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),468,844,719,771,377,503,576,559,5,535,675,611,621,684,150,638,305,498,0,805,1032
Thian Hock Keng Temple,1292,1275,278,677,972,1286,134,1006,1032,845,37,1051,976,313,1049,636,1068,731,1028,0,435
Marina Bay Sands,1172,1230,642,391,928,823,498,602,969,527,457,851,572,677,1047,958,1037,597,975,588,0
