,Abdul Gaffoor Mosque,Bright Hill Temple (Khong Meng San Phor Kark See Temple),Buddha Tooth Relic Temple,Cathedral of the Good Shepherd,Central Sikh Temple,Hajjah Fatimah Mosque,Jamae Mosque,Kwan Im Thong Hood Cho Temple,Leong San See Temple,Maghain Aboth Synagogue,Nagore Durgha Shrine,Siong Lim Temple,Sri Krishnan Temple,Sri Mariamman Temple,Sri Srinivasa Perumal Temple,Sri Thandayuthapani Temple,Sri Veeramakaliamman Temple,Sultan Mosque,Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),Thian Hock Keng Temple
Abdul Gaffoor Mosque,0,8060,3188,1152,2063,1259,2898,499,1593,881,3109,4462,560,2974,1287,1877,574,873,1567,3230
Bright Hill Temple (Khong Meng San Phor Kark See Temple),8160,0,10997,8957,7763,9076,10707,8551,7589,8784,10917,5906,8563,10783,7792,9135,7626,8764,7622,11039
Buddha Tooth Relic Temple,3188,10997,0,2102,5065,3367,341,2731,4593,2383,660,7465,2702,288,4287,2077,3574,2978,4567,553
Cathedral of the Good Shepherd,1152,8957,2102,0,3029,1794,1812,649,2553,274,2022,5429,620,1888,2247,1188,1534,1414,2527,2144
Central Sikh Temple,2063,7763,5065,3042,0,2273,4775,2376,636,2758,4986,2774,2437,4851,1000,3624,1559,2319,670,5107
Hajjah Fatimah Mosque,1259,9076,3367,1794,2273,0,3077,1356,1909,1736,3362,4673,1453,3153,1642,2867,1534,462,1922,3409
Jamae Mosque,2898,10707,341,1812,4775,3077,0,2441,4303,2093,487,7175,2411,127,3997,1684,3284,2688,4277,506
Kwan Im Thong Hood Cho Temple,514,8551,2731,649,2391,1356,2441,0,2027,382,2651,4791,99,2517,1727,1552,1074,984,2007,2773
Leong San See Temple,1593,7589,4593,2553,636,1909,4303,2012,0,2380,4513,2891,2073,4379,385,3135,1069,1955,25,4635
Maghain Aboth Synagogue,896,8784,2383,274,2773,1736,2093,382,2380,0,2304,5173,353,2169,2075,1170,1362,1377,2355,2425
Nagore Durgha Shrine,3109,10917,660,2022,4986,3362,476,2651,4513,2304,0,7385,2622,485,4207,1997,3494,2898,4487,110
Siong Lim Temple,4462,5707,7465,5437,2774,4673,7175,4776,2891,5158,7385,0,4837,7251,3259,6019,3953,4719,2925,7507
Sri Krishnan Temple,560,8563,2702,620,2437,1453,2411,99,2073,353,2622,4837,0,2488,1773,1470,1120,1081,2053,2744
Sri Mariamman Temple,2974,10783,288,1888,4851,3153,127,2517,4379,2169,485,7251,2488,0,4073,1768,3360,2764,4353,504
Sri Srinivasa Perumal Temple,1287,7792,4287,2247,1000,1642,3997,1712,385,2075,4207,3259,1773,4073,0,2829,763,1689,359,4329
Sri Thandayuthapani Temple,1874,9515,1981,1189,3670,2865,1684,1549,3180,1168,1997,6064,1467,1768,2874,0,2161,2492,3154,2023
Sri Veeramakaliamman Temple,574,7626,3574,1534,1559,1532,3284,1059,1069,1362,3494,3953,1120,3360,763,2116,0,1175,1043,3616
Sultan Mosque,873,8764,2978,1414,2319,462,2688,984,1955,1377,2898,4719,1081,2764,1689,2495,1175,0,1969,3020
Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),1567,7622,4567,2527,670,1922,4277,1992,25,2355,4487,2925,2053,4353,359,3109,1043,1969,0,4609
Thian Hock Keng Temple,3230,11039,553,2144,5107,3409,506,2773,4635,2425,110,7507,2744,504,4329,2023,3616,3020,4609,0
