	Abdul Gaffoor Mosque	Bright Hill Temple (Khong Meng San Phor Kark See Temple)	Buddha Tooth Relic Temple	Cathedral of the Good Shepherd	Central Sikh Temple	Hajjah Fatimah Mosque	Jamae Mosque	Kwan Im Thong Hood Cho Temple	Leong San See Temple	Maghain Aboth Synagogue	Nagore Durgha Shrine	Siong Lim Temple	Sri Krishnan Temple	Sri Mariamman Temple	Sri Srinivasa Perumal Temple	Sri Thandayuthapani Temple	Sri Veeramakaliamman Temple	Sultan Mosque	Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple)	Thian Hock Keng Temple
Abdul Gaffoor Mosque	0	6166	2435	902	1550	985	2222	408	1191	694	2361	3399	452	2279	959	1457	441	684	1177	2451
Bright Hill Temple (Khong Meng San Phor Kark See Temple)	6189	0	8301	6776	5819	6940	8088	6474	5729	6645	8227	4460	6481	8145	5898	6971	5799	6689	5757	8317
Buddha Tooth Relic Temple	2442	8367	0	1602	3853	2565	254	2090	3478	1833	480	5701	2071	217	3246	1622	2728	2273	3465	422
Cathedral of the Good Shepherd	871	6798	1567	0	2282	1378	1354	485	1910	210	1493	4130	465	1412	1678	897	1160	1076	1896	1583
Central Sikh Temple	1566	5899	3861	2319	0	1766	3648	1834	499	2120	3787	2105	1878	3705	763	2796	1197	1802	527	3877
Hajjah Fatimah Mosque	956	6965	2531	1383	1722	0	2318	1047	1450	1332	2488	3570	1120	2376	1245	2195	1172	347	1463	2547
Jamae Mosque	2226	8150	251	1386	3637	2349	0	1874	3262	1617	351	5485	1855	96	3030	1350	2512	2057	3248	366
Kwan Im Thong Hood Cho Temple	386	6498	2053	487	1797	1044	1840	0	1525	285	1979	3645	73	1898	1292	1171	817	758	1510	2069
Leong San See Temple	1184	5787	3453	1928	478	1472	3240	1541	0	1797	3379	2231	1584	3298	285	2404	805	1508	21	3469
Maghain Aboth Synagogue	664	6663	1792	203	2074	1323	1579	278	1774	0	1718	3922	258	1637	1543	886	1024	1046	1761	1808
Nagore Durgha Shrine	2382	8306	493	1542	3793	2535	366	2030	3418	1773	0	5641	2010	369	3186	1562	2668	2213	3404	82
Siong Lim Temple	3383	4390	5678	4122	2077	3583	5465	3651	2219	3937	5604	0	3695	5522	2483	4599	3000	3619	2247	5694
Sri Krishnan Temple	425	6505	2031	465	1835	1116	1818	70	1563	263	1957	3684	0	1876	1331	1119	856	830	1549	2047
Sri Mariamman Temple	2280	8204	210	1440	3690	2403	92	1928	3316	1670	346	5539	1908	0	3084	1427	2566	2111	3302	361
Sri Srinivasa Perumal Temple	969	5969	3238	1713	760	1282	3025	1324	293	1582	3164	2511	1367	3082	0	2189	590	1318	277	3254
Sri Thandayuthapani Temple	1437	7292	1541	903	2790	2199	1310	1177	2417	900	1529	4623	1127	1390	2185	0	1667	1913	2403	1557
Sri Veeramakaliamman Temple	423	5834	2691	1166	1166	1180	2478	820	793	1035	2617	2999	863	2536	561	1642	0	914	780	2707
Sultan Mosque	657	6709	2242	1079	1760	348	2029	762	1488	1057	2168	3608	835	2086	1283	1911	904	0	1501	2258
Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple)	1166	5810	3435	1909	500	1478	3221	1520	16	1778	3360	2254	1563	3279	265	2385	786	1515	0	3450
Thian Hock Keng Temple	2474	8398	431	1634	3884	2597	378	2122	3510	1864	79	5733	2102	381	3278	1557	2707	2258	3450	0
