,Esplanade - Theatres on the Bay,Geylanf Serai Market,G-Max Reverse Bungy,Haw Par Villa,House of Tan Teng Niah,Joo Chiat Street,Marina Bay Sands Casino,Marina Bay Sands SkyPark,NEWater Visitor Centre,Raffles Place,Resort World Sentosa Casino,Sentosa Skyline Luge and Skyride,Singapore Bazaar and Flea Market,Singapore Discovery Centre,Singapore F1 Grand Prix,Singapore Flyer,Singapore River,Science Centre Singapore,Statues of Sir Stamford Raffles,The Padang,Underwater World Singapore Pte Ltd,Universal Studios Singapore,Wonder Full at Marina Bay Sands,Marina Bay Sands
Esplanade - Theatres on the Bay,0,6120,1414,10551,2444,6197,1268,1187,13344,1149,6685,8103,1860,23418,3884,958,2351,15709,937,488,8878,6932,1211,1158
Geylanf Serai Market,6120,0,6914,16431,5832,946,6952,6614,7290,7046,12565,13983,5675,28023,8954,6039,7871,20778,6726,6357,14758,12812,6935,6842
G-Max Reverse Bungy,1414,6914,0,9329,2442,7262,2573,2492,14138,1145,6095,7505,1951,22377,3063,2401,952,14769,609,925,8280,6342,2516,2463
Haw Par Villa,10551,16431,9233,0,10875,16509,10599,10888,23656,9495,6804,8253,10601,15569,7976,11388,8327,8233,10067,10371,9028,7051,10440,10524
House of Tan Teng Niah,2444,5832,2442,10912,0,6343,3450,3234,13088,3189,8188,9598,751,22276,3375,2818,2806,15006,2672,2333,10373,8434,3394,3341
Joo Chiat Street,6197,946,7262,16509,6469,0,6890,6691,7689,7124,12643,14061,6157,28602,9445,6117,8199,21269,6804,6434,14836,12889,6833,6920
Marina Bay Sands Casino,1268,6969,2573,10594,3451,6890,0,795,14193,1477,6728,8146,2888,24059,5220,1325,2752,16451,1960,1706,8921,6974,160,244
Marina Bay Sands SkyPark,1187,6630,2492,10882,3234,6707,794,0,13854,1773,7016,8434,2671,24356,5140,1031,3048,16964,1880,1625,9209,7262,777,684
NEWater Visitor Centre,13344,7290,14138,23656,13088,7680,14177,13838,0,14271,19789,21207,12859,35279,16138,13263,15095,27962,13950,13581,21982,20036,14159,14066
Raffles Place,1149,7049,1145,9495,3189,7126,1477,1773,14273,0,5628,7047,2626,22797,4211,1985,1489,15189,617,930,7822,5875,1317,1401
Resort World Sentosa Casino,6714,12594,6080,6787,8188,12671,6762,7050,19818,5657,0,2400,7697,22147,6907,7550,5369,14779,6197,6502,3175,365,6602,6686
Sentosa Skyline Luge and Skyride,8124,14004,7490,8235,9598,14081,8171,8460,21228,7067,2400,0,9107,23595,8317,8960,6779,16227,7607,7912,1044,2647,8012,8095
Singapore Bazaar and Flea Market,1860,5675,1951,10638,751,6157,2888,2671,12859,2626,7696,9107,0,22614,3405,2317,2395,15229,2174,1770,9882,7943,2831,2778
Singapore Discovery Centre,23362,27962,22156,15570,22215,28541,24002,24298,35219,22739,22166,23615,22553,0,19591,24210,21250,8162,22750,23066,24390,22413,23842,23926
Singapore F1 Grand Prix,3870,8938,3063,8013,3379,9409,5204,5124,16162,4211,6906,8317,3389,19649,0,4718,2895,11939,3676,3716,9092,7153,5148,5095
Singapore Flyer,958,6032,2401,11388,2818,6109,1325,1245,13256,1985,7521,8940,2317,24268,4734,0,3229,16558,1788,1466,9715,7768,1269,1215
Singapore River,2351,7871,952,8423,2854,8199,2752,3048,15095,1489,5368,6779,2395,21308,2900,3229,0,13699,1559,1862,7554,5615,2592,2676
Science Centre Singapore,15710,20778,14606,8246,15078,21249,16451,16964,28002,15189,14817,16265,15229,8220,11939,16558,13699,0,15199,15601,17040,15063,16291,16375
Statues of Sir Stamford Raffles,937,6726,609,10067,2672,6803,1960,1880,13950,617,6200,7618,2174,22808,3676,1788,1559,15199,0,498,8393,6447,1903,1850
The Padang,488,6357,925,10371,2333,6434,1705,1625,13581,930,6505,7923,1770,23124,3716,1466,1862,15586,498,0,8698,6752,1649,1596
Underwater World Singapore Pte Ltd,8894,14775,8260,9006,10369,14852,8942,9231,21999,7838,3171,1044,9878,24366,9087,9731,7549,16998,8378,8682,0,3418,8782,8866
Universal Studios Singapore,6961,12841,6327,7034,8435,12918,7008,7297,20065,5904,365,2647,7944,22394,7154,7797,5616,15026,6444,6749,3422,0,6849,6932
Wonder Full at Marina Bay Sands,1211,6912,2516,10434,3394,6833,160,738,14136,1317,6568,7986,2831,23900,5163,1268,2592,16291,1903,1649,8761,6815,0,84
Marina Bay Sands,1158,6858,2463,10518,3341,6780,244,684,14082,1401,6652,8070,2778,23984,5110,1215,2676,16375,1850,1596,8845,6899,84,0
