,ArtScience Museum,Asian Civilisation Museum,Changi Prison Chapel and Museum,Images of Singapore,Malay Heritage Centre,National Museum of Singapore,Peranakan Museum,Red Dot Design Museum,Singapore Art Museum,Singapore Philatelic Museum,Marina Bay Sands
ArtScience Museum,0,0.5895,2.123,2.3625,0.97,0.856,0.8045,0.2775,0.826,0.7645,0.0565
Asian Civilisation Museum,0.594,0,2.025,2.1,0.877,0.5525,0.428,0.4975,0.5845,0.366,0.6505
Changi Prison Chapel and Museum,2.277,2.0375,0,2.599,2.315,1.86,2.0225,2.0985,1.858,2.0185,2.2175
Images of Singapore,2.8085,1.716,3.0515,0,2.3215,1.08,2.014,2.6775,1.755,1.9955,2.749
Malay Heritage Centre,0.9385,0.8335,1.792,1.429,0,0.6985,0.6915,1.1725,0.5965,0.739,0.995
National Museum of Singapore,0.7985,0.5005,1.86,1.08,0.689,0,0.1475,0.9045,0.137,0.203,0.855
Peranakan Museum,0.7575,0.386,1.8385,1.1215,0.6905,0.158,0,0.8085,0.1795,0.085,0.814
Red Dot Design Museum,0.2775,0.4955,1.938,2.0975,1.212,0.972,0.856,0,0.942,0.794,0.218
Singapore Art Museum,0.797,0.5465,1.703,1.1235,0.5985,0.1475,0.1825,0.91,0,0.238,0.8535
Singapore Philatelic Museum,0.722,0.319,2.5395,1.0545,0.733,0.209,0.0805,0.7415,0.2305,0,0.7785
Marina Bay Sands,0.056,0.6455,2.063,2.3025,1.026,0.912,0.8605,0.2175,0.882,0.8205,0
