,ArtScience Museum,Asian Civilisation Museum,Changi Prison Chapel and Museum,Images of Singapore,Malay Heritage Centre,National Museum of Singapore,Peranakan Museum,Red Dot Design Museum,Singapore Art Museum,Singapore Philatelic Museum,Marina Bay Sands
ArtScience Museum,0,1600,21640,8263,2504,2187,2063,766,2128,1987,156
Asian Civilisation Museum,1603,0,19091,7868,2270,1407,1073,1338,1487,898,1757
Changi Prison Chapel and Museum,23452,19758,0,26188,16685,18000,18753,22396,19138,18736,23287
Images of Singapore,22473,7447,25068,0,10399,9200,8507,22110,8766,8451,22308
Malay Heritage Centre,2506,2270,16836,8899,0,1806,1820,3208,1569,1934,2660
National Museum of Singapore,2168,1407,18000,9200,1806,0,406,2501,369,548,2322
Peranakan Museum,2044,1073,17684,6817,1820,406,0,2219,479,223,2198
Red Dot Design Museum,766,1337,20584,7530,3208,2546,2239,0,2487,2064,601
Singapore Art Museum,2130,1487,17326,8074,1569,369,479,2487,0,621,2284
Singapore Philatelic Museum,1989,898,18175,6641,1934,548,223,2043,621,0,2143
Marina Bay Sands,156,1755,21475,8098,2660,2343,2219,601,2284,2143,0
