,ArtScience Museum,Asian Civilisation Museum,Changi Prison Chapel and Museum,Images of Singapore,Malay Heritage Centre,National Museum of Singapore,Peranakan Museum,Red Dot Design Museum,Singapore Art Museum,Singapore Philatelic Museum,Marina Bay Sands
ArtScience Museum,0,6.1946,13.8814,9.3263,5.39435,5.16335,4.92905,5.36355,5.32945,5.01595,4.8482
Asian Civilisation Museum,5.2365,0,13.66855,8.92095,5.02365,4.75745,4.5237,4.75525,4.92355,4.61005,5.39105
Changi Prison Chapel and Museum,15.7569,16.6556,0,19.07285,15.4401,15.22395,15.73325,15.37905,15.16125,15.9659,15.62875
Images of Singapore,9.40935,8.3583,18.72525,0,16.6534,9.45665,8.38965,9.0315,9.39395,8.3154,9.2812
Malay Heritage Centre,5.53185,6.37995,12.77755,14.25265,0,6.4113,5.11495,5.7139,6.34805,5.27555,5.6864
National Museum of Singapore,6.71435,6.04115,15.4841,9.01885,6.0758,0,5.03905,6.12255,5.16115,4.9648,6.5862
Peranakan Museum,5.26345,6.3552,15.3631,9.33235,5.0594,4.241,0,6.43605,4.4071,4.4797,6.90025
Red Dot Design Museum,4.4885,5.2112,14.3841,9.17615,5.78815,11.4988,6.2441,0,11.43555,6.31395,4.36035
Singapore Art Museum,5.1188,6.65055,15.1574,9.62825,4.90595,4.6293,4.40985,6.73195,0,4.3356,5.27335
Singapore Philatelic Museum,6.89475,6.22155,15.46485,9.19925,5.1386,4.34275,4.00065,6.30295,4.50885,0,6.7666
Marina Bay Sands,4.02815,5.6149,14.00955,9.5804,5.5225,5.29095,5.0572,4.76405,5.4576,5.1441,0
