,ArtScience Museum,Asian Civilisation Museum,Changi Prison Chapel and Museum,Images of Singapore,Malay Heritage Centre,National Museum of Singapore,Peranakan Museum,Red Dot Design Museum,Singapore Art Museum,Singapore Philatelic Museum,Marina Bay Sands
ArtScience Museum,0,4172,18148,9866,2717,2297,1871,2661,2599,2029,1724
Asian Civilisation Museum,2430,0,17761,9129,2043,1559,1134,1555,1861,1291,2711
Changi Prison Chapel and Museum,21558,23192,0,27587,20982,20589,21515,20871,20475,21938,21325
Images of Singapore,10017,8106,26955,0,23188,10103,8163,9330,9989,8028,9784
Malay Heritage Centre,2967,4509,16141,18823,0,4566,2209,3298,4451,2501,3248
National Museum of Singapore,5117,3893,21062,9307,3956,0,2071,4041,2293,1936,4884
Peranakan Museum,2479,4464,20842,9877,2108,620,0,4611,922,1054,5455
Red Dot Design Museum,1070,2384,19062,9593,3433,13816,4262,0,13701,4389,837
Singapore Art Museum,2216,5001,20468,10415,1829,1326,927,5149,0,792,2497
Singapore Philatelic Museum,5445,4221,21027,9635,2252,805,183,4369,1107,0,5212
Marina Bay Sands,233,3118,18381,10328,2950,2529,2104,1571,2832,2262,0
