,Bukit Timah Nature Reserve,East Coast Park,Fort Canning Park,Gardens by the Bay,HortPark,Jurong Bird Park,Mandai Orchid Gardens,Marina Barrage,Merlion Park,Mount Faber Park,National Orchid Garden,Singapore Botanic Gardens,Singapore Butterfly and Insect Kingdom,Singapore Night Safari,Singapore Zoo,Sungei Buloh Nature Park,The Southern Ridges,Treetop Walk at MacRitche Reservoir,Marina Bay Sands
Bukit Timah Nature Reserve,0,20876,16809,14796,13186,17421,12650,15388,15093,15767,7333,7169,18682,14183,13917,17788,12937,15240,14006
East Coast Park,20415,0,11803,12052,18378,35212,28338,12336,10332,16806,16439,15832,17377,29972,29706,45599,18091,20908,11262
Fort Canning Park,13034,11372,0,3414,10113,26994,24822,3927,1526,8732,5063,5272,9111,24943,24677,36755,9486,13534,2787
Gardens by the Bay,15850,10635,3489,0,10085,26846,27639,1207,2199,10828,11351,11187,9011,34822,28774,36607,9867,20530,957
HortPark,12451,22904,9566,15323,0,22125,22766,15915,8573,2669,7285,7380,6792,24299,24033,27904,536,15585,14533
Jurong Bird Park,17164,36390,27299,27214,21157,0,25758,28027,25590,22969,21389,21225,26751,27291,27025,29076,20908,30191,26425
Mandai Orchid Gardens,13149,29052,28832,26819,23833,25370,0,27411,27116,29072,19356,19192,30705,1399,1133,11381,23584,14442,26029
Marina Barrage,16289,11074,3928,1207,10994,29059,28078,0,2638,10821,11790,11626,9235,29445,29213,41642,10776,18136,1794
Merlion Park,14655,10461,1527,2125,8763,25286,26444,2638,0,8681,6592,21909,7808,33262,32996,35047,8545,15194,1498
Mount Faber Park,15121,18511,9455,20129,2669,23957,27247,20721,8368,0,9955,12409,4279,28881,28615,30574,2257,18453,19339
National Orchid Garden,7483,15770,12432,10418,7234,23207,18529,11010,10716,13289,0,285,15057,20062,19796,23667,6985,11463,9628
Singapore Botanic Gardens,7319,15606,12268,10254,7329,23043,18365,10846,10552,13125,291,0,14893,19898,19632,23503,7080,11558,9464
Singapore Butterfly and Insect Kingdom,20365,34311,9695,23300,7120,27128,30637,23892,8147,4278,15744,15580,0,32271,32005,36549,6902,21843,22510
Singapore Night Safari,14550,30453,30233,28220,25234,26771,1399,28812,28517,30473,20757,20593,32106,0,1038,13079,24985,15985,27430
Singapore Zoo,14284,30187,29967,27954,24968,26505,1133,28546,28251,30207,20491,20327,31840,1038,0,12813,24719,15719,27164
Sungei Buloh Nature Park,15196,38564,36098,39753,26338,28680,11168,41624,37741,27838,21674,21769,33502,12701,12435,0,26089,29054,39231
The Southern Ridges,12241,22694,9317,15113,536,23109,22556,15705,8323,2257,7075,7170,6542,24089,23823,27694,0,15355,14323
Treetop Walk at MacRitche Reservoir,15240,19788,12583,14687,16038,31686,14844,15279,13569,18490,11388,11483,21196,16478,16212,29748,15789,0,13897
Marina Bay Sands,15163,10075,2789,957,9256,26121,26952,1794,1498,9551,21688,21524,8300,34097,33831,35882,9038,19970,0
