,Bukit Timah Nature Reserve,East Coast Park,Fort Canning Park,Gardens by the Bay,HortPark,Jurong Bird Park,Mandai Orchid Gardens,Marina Barrage,Merlion Park,Mount Faber Park,National Orchid Garden,Singapore Botanic Gardens,Singapore Butterfly and Insect Kingdom,Singapore Night Safari,Singapore Zoo,Sungei Buloh Nature Park,The Southern Ridges,Treetop Walk at MacRitche Reservoir,Marina Bay Sands
Bukit Timah Nature Reserve,0,5613,3398,3536,3399,6583,3998,3946,3259,4430,2721,2604,4056,4557,4331,4995,3154,5285,2926
East Coast Park,4847,0,4202,4988,5375,7931,8556,5459,3706,5436,4804,4685,6474,9115,8889,8845,5479,8187,4378
Fort Canning Park,4234,4190,0,2640,3472,5412,6134,2939,1172,3133,2811,2958,4511,6451,6225,6595,2993,5445,2106
Gardens by the Bay,5021,4515,2730,0,3112,5917,6921,867,1585,4508,4559,4442,5299,7169,7753,7100,2909,6856,699
HortPark,4380,5874,4341,4562,0,5660,6165,4972,2588,2334,3153,3224,4012,6724,6498,7162,434,5843,3952
Jurong Bird Park,5460,7194,5306,5780,4870,0,6183,6265,4562,5212,5384,5267,5659,6742,6516,6673,4625,8174,5170
Mandai Orchid Gardens,3709,5866,5414,5552,5540,7577,0,5962,5275,6369,4737,4620,6072,1055,829,4391,5295,5696,4942
Marina Barrage,5366,4860,3075,929,3808,7032,7266,0,1929,4353,4904,4787,3866,8329,8098,7277,3605,7228,1307
Merlion Park,4399,3867,1321,1640,2788,4757,6299,1939,0,3044,3227,4245,4153,6009,5783,5940,2585,5424,1106
Mount Faber Park,5224,5941,4021,4864,2229,5673,6415,5274,2337,0,3997,3568,3567,6974,6748,8006,1877,6115,4254
National Orchid Garden,3405,4691,3156,3294,2882,6485,5089,3704,3017,4093,0,207,3744,5648,5422,6086,2637,5159,2684
Singapore Botanic Gardens,3304,4590,3055,3193,2980,6384,4988,3603,2916,3992,220,0,3643,5547,5321,5985,2735,5257,2583
Singapore Butterfly and Insect Kingdom,6382,7708,4128,6262,4380,7071,8052,6672,3938,3564,5083,4966,0,8611,8385,9063,4177,7752,5652
Singapore Night Safari,4726,6883,6431,6569,6557,8594,1014,6979,6292,7386,5754,5637,7089,0,740,4945,6312,6250,5959
Singapore Zoo,4549,6706,6254,6392,6380,8417,837,6802,6115,7209,5577,5460,6912,788,0,4768,6135,6073,5782
Sungei Buloh Nature Park,4577,7574,6411,7176,6342,7143,4140,7651,6215,6752,5620,5691,7213,4699,4473,0,6097,8148,6749
The Southern Ridges,4188,5682,4104,4370,442,5523,5973,4780,2351,1990,2961,3032,3775,6532,6306,6970,0,5626,3760
Treetop Walk at MacRitche Reservoir,5285,6875,5442,6076,5661,8308,5890,6486,5525,6051,4939,5010,6221,6449,6223,8072,5416,0,5466
Marina Bay Sands,4630,4125,2239,731,3397,5367,6530,1311,1094,3873,4620,4503,4762,6619,6393,6550,3194,6466,0
