,Bukit Timah Nature Reserve,Central Catchment Nature Reserve,East Coast Park,Fort Canning Park,Gardens by the Bay,HortPark,Jurong Bird Park,Kusu Island,Mandai Orchid Gardens,Marina Barrage,Merlion Park,Mount Faber Park,National Orchid Garden,Pulau Ubin,Singapore Botanic Gardens,Singapore Butterfly and Insect Kingdom,Singapore Night Safari,Singapore Zoo,Sisters' Islands,Sungei Buloh Nature Park,The Southern Ridges,Treetop Walk at MacRitche Reservoir,Marina Bay Sands
Bukit Timah Nature Reserve,0,708,1387,1388,1356,1573,1113,4005,855,2080,1321,1373,946,10831,943,1659,1176,1084,3656,1439,920,1249,1457
Central Catchment Nature Reserve,911,0,1780,1697,1718,1935,1368,4367,1345,2473,1714,1735,1314,11224,1205,2021,1666,1574,4019,1929,1283,1659,1819
East Coast Park,1698,1915,0,1109,871,2018,2197,4229,1876,1233,971,1691,1565,9929,1410,1735,2197,2106,3881,2460,1588,1831,1209
Fort Canning Park,1432,1570,1216,0,973,1516,1415,3727,1545,1783,424,1162,764,10660,802,1233,1865,1774,3379,2194,1046,1491,951
Gardens by the Bay,1488,1705,761,1100,0,1268,1449,3479,1667,1236,1059,941,1288,10192,1200,985,1987,1896,3131,2250,838,1621,511
HortPark,1619,1893,1482,1461,1147,0,1452,3516,1903,1957,1780,884,1256,10913,1451,1290,2223,2132,3168,2486,620,1896,1248
Jurong Bird Park,1282,1628,1802,1500,1468,1743,0,4117,1435,2277,2018,1484,1491,11233,1616,1770,1756,1664,3768,1738,1032,1946,1569
Kusu Island,2878,3153,2466,2445,2131,2309,2711,0,3162,2941,2764,1946,2516,11897,2711,2133,3482,3391,348,3745,1879,3155,2232
Mandai Orchid Gardens,914,1159,1598,1728,1603,2008,1445,4382,0,2291,1532,1750,1447,10942,1154,2036,320,228,4034,1022,1298,1371,1730
Marina Barrage,1556,1773,1069,1465,477,1336,1517,3547,1735,0,1269,1009,1356,10500,1269,1053,2055,1964,3199,2318,906,1689,579
Merlion Park,1601,1818,875,801,360,1259,1447,3470,1780,1349,0,932,1340,10305,1379,976,2101,2009,3122,2364,829,1735,315
Mount Faber Park,1628,1902,1162,1141,827,1134,1461,3196,1898,1637,1460,0,1300,10593,1447,970,2219,2128,2848,2482,704,1939,928
National Orchid Garden,1019,1182,1390,932,1257,1410,1317,3908,1198,2083,1324,1275,0,10834,389,1505,1518,1427,3559,1781,732,1191,1357
Pulau Ubin,10840,11057,9597,10230,9992,11161,11340,14622,10662,10354,10092,10833,10708,0,10553,10878,10982,10891,13023,11325,10731,10973,10330
Singapore Botanic Gardens,1005,1101,1251,1006,1256,1530,1437,3981,1198,1944,1184,1349,455,10694,0,1578,1518,1427,3633,1781,853,1191,1431
Singapore Butterfly and Insect Kingdom,1629,1904,1163,1142,829,1337,1462,3333,1900,1638,1462,973,1416,10594,1455,0,2220,2129,2985,2483,907,1941,930
Singapore Night Safari,1216,1461,1900,2030,1905,2310,1747,4684,301,2593,1833,2052,1749,11244,1456,2338,0,161,4336,1324,1600,1673,2032
Singapore Zoo,1124,1370,1808,1938,1814,2219,1656,4593,209,2502,1742,1961,1658,11152,1364,2247,158,0,4245,1232,1508,1581,1941
Sisters' Islands,2529,2804,2117,2096,1783,1961,2362,348,2814,2592,2416,1598,2167,11548,2362,1785,3134,3043,0,3397,1531,2807,1884
Sungei Buloh Nature Park,1534,1838,2277,2303,2282,2687,1798,5061,1032,2970,2211,2429,2126,11387,1833,2715,1353,1262,4713,0,1977,1861,2409
The Southern Ridges,1092,1367,1050,1029,716,677,925,3084,1376,1525,1349,452,730,10481,925,859,1697,1606,2736,1960,0,1370,817
Treetop Walk at MacRitche Reservoir,1395,1612,1585,1572,1590,2052,1883,4459,1043,2278,1518,1827,1221,10954,1259,2091,1364,1272,4111,1707,1374,0,1717
Marina Bay Sands,1488,1705,697,440,337,1324,1505,3535,1667,1184,237,997,1356,10128,1201,1041,1987,1896,3187,2250,894,1621,0
