,Abdul Gaffoor Mosque,Bright Hill Temple (Khong Meng San Phor Kark See Temple),Buddha Tooth Relic Temple,Cathedral of the Good Shepherd,Central Sikh Temple,Hajjah Fatimah Mosque,Jamae Mosque,Kwan Im Thong Hood Cho Temple,Leong San See Temple,Maghain Aboth Synagogue,Nagore Durgha Shrine,Siong Lim Temple,Sri Krishnan Temple,Sri Mariamman Temple,Sri Srinivasa Perumal Temple,Sri Thandayuthapani Temple,Sri Veeramakaliamman Temple,Sultan Mosque,Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),Thian Hock Keng Temple,Marina Bay Sands
Abdul Gaffoor Mosque,0,2680,2435,902,1550,985,2222,408,1191,694,2361,3399,452,2279,959,1457,441,684,1177,2451,2168
Bright Hill Temple (Khong Meng San Phor Kark See Temple),2191,0,3113,3367,2635,2817,2864,3347,2791,3509,3129,3383,3303,2967,3197,3397,2425,2526,2820,3144,5063
Buddha Tooth Relic Temple,2442,3503,0,1602,1538,2565,254,2090,3478,1833,480,3214,2071,217,3246,1622,2728,2273,3465,422,1662
Cathedral of the Good Shepherd,871,3690,1567,0,2283,1378,1354,485,1910,210,1493,3002,465,1412,1678,897,1160,1090,1896,1583,1668
Central Sikh Temple,1566,3380,2259,2319,0,1766,2248,1834,499,2120,1574,2105,1878,1375,763,2796,1197,1802,527,2477,3594
Hajjah Fatimah Mosque,956,3587,2531,1383,1722,0,2318,1047,1450,1332,2488,3570,1120,2376,1245,2195,1172,347,1463,2547,2009
Jamae Mosque,2226,3291,251,1386,1484,2349,0,1874,3262,1617,351,3069,1855,96,3030,1350,2512,2057,3248,366,1505
Kwan Im Thong Hood Cho Temple,386,2686,2053,487,1797,1044,1840,0,1525,285,1979,2260,73,1898,1292,1171,817,758,1510,2069,2029
Leong San See Temple,1184,2857,3453,1928,478,1472,3240,1541,0,1797,3379,2231,1584,3298,285,2404,805,1508,21,3469,3300
Maghain Aboth Synagogue,664,3701,1792,203,2074,1323,1579,278,1774,0,1718,2964,258,1637,1543,886,1024,1046,1761,1808,1802
Nagore Durgha Shrine,2382,3579,493,1542,1762,2535,366,2030,3418,1773,0,2882,2010,369,3186,1562,2668,2213,3404,82,1316
Siong Lim Temple,3383,4441,3391,2878,2077,3583,3380,2633,2219,3433,4668,0,2589,3438,2483,3101,3000,2717,2247,4746,4898
Sri Krishnan Temple,425,3964,2031,465,1835,1116,1818,70,1563,263,1957,2330,0,1876,1331,1119,856,830,1549,2047,2007
Sri Mariamman Temple,2280,3358,210,1440,1393,2403,92,1928,3316,1670,346,3123,1908,0,3084,1427,2566,2111,3302,361,1552
Sri Srinivasa Perumal Temple,969,3180,3238,1713,760,1282,3025,1324,293,1582,3164,2511,1367,3082,0,2189,590,1318,277,3254,3083
Sri Thandayuthapani Temple,1437,4404,1541,903,2790,2199,1310,1177,2417,900,1529,3015,1127,1390,2185,0,1667,1913,2403,1557,2298
Sri Veeramakaliamman Temple,423,2756,2691,1166,1166,1180,2478,820,793,1035,2617,2999,863,2536,561,1642,0,914,780,2707,2579
Sultan Mosque,657,3789,2242,1079,1760,348,2029,762,1488,1057,2168,2578,835,2086,1283,1911,904,0,1501,2258,1901
Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),1166,2880,3435,1909,500,1478,3221,1520,16,1778,3360,2254,1563,3279,265,2385,786,1515,0,3450,3279
Thian Hock Keng Temple,2474,3591,431,1634,1774,2597,378,2122,3510,1864,79,3012,2102,381,3278,1654,2760,2305,3496,0,1386
Marina Bay Sands,2196,4316,1700,1721,2162,2039,1544,2095,3334,1862,1340,3486,2075,1602,3101,2345,2626,1953,3320,1413,0
