,Abdul Gaffoor Mosque,Bright Hill Temple (Khong Meng San Phor Kark See Temple),Buddha Tooth Relic Temple,Cathedral of the Good Shepherd,Central Sikh Temple,Hajjah Fatimah Mosque,Jamae Mosque,Kwan Im Thong Hood Cho Temple,Leong San See Temple,Maghain Aboth Synagogue,Nagore Durgha Shrine,Siong Lim Temple,Sri Krishnan Temple,Sri Mariamman Temple,Sri Srinivasa Perumal Temple,Sri Thandayuthapani Temple,Sri Veeramakaliamman Temple,Sultan Mosque,Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),Thian Hock Keng Temple,Marina Bay Sands
Abdul Gaffoor Mosque,0,10890,4189,2540,3449,1523,3724,626,2155,1061,4076,7161,898,3855,1818,2562,1124,1539,2130,4479,8447
Bright Hill Temple (Khong Meng San Phor Kark See Temple),10034,0,13634,13972,8636,10333,13169,10935,9098,11806,13521,6525,11207,13300,9420,12276,10550,10468,9132,13925,16215
Buddha Tooth Relic Temple,9174,14351,0,3197,7777,9474,1798,5135,8178,4698,1521,13435,5051,2005,8126,3283,8960,9609,8153,1238,3023
Cathedral of the Good Shepherd,3094,11400,4116,0,3959,2916,3651,710,2665,366,4003,6586,626,3781,2328,2488,1634,2932,2640,4406,2467
Central Sikh Temple,2151,8388,9297,6816,0,2429,8832,2448,1280,2883,9184,3513,2720,8963,1537,7939,2500,2564,1314,9587,7434
Hajjah Fatimah Mosque,3386,11599,3762,2414,3443,0,3297,3683,2514,4118,3648,6742,3954,3862,2772,5002,3735,600,2548,4052,3355
Jamae Mosque,8309,13485,980,2480,6911,8608,0,4301,7313,3864,2029,11438,4217,624,7260,2449,8095,8743,7287,2432,6038
Kwan Im Thong Hood Cho Temple,2662,10968,3683,1932,3527,2483,3218,0,2233,555,3570,6153,392,3349,1895,2056,1201,2499,2207,3974,5529
Leong San See Temple,1717,9026,6667,7005,1481,2311,6202,2014,0,4839,6553,4107,2286,6332,650,5309,1271,2446,25,6957,8038
Maghain Aboth Synagogue,2822,11128,3844,1376,3687,2644,3379,437,2393,0,3731,6314,353,3509,2055,2216,1362,2660,2368,4134,2652
Nagore Durgha Shrine,8793,13969,941,2964,7396,9092,476,4786,7797,4349,0,12814,4701,1108,7744,2933,8579,3867,7772,432,1988
Siong Lim Temple,5341,7043,11479,8654,6481,6338,11014,8779,4470,9651,11526,0,9051,11144,4727,10121,8394,6458,4503,13007,11307
Sri Krishnan Temple,2617,10923,3639,1887,3482,2438,3174,84,2188,511,3525,6108,0,3304,1850,2011,1156,2455,2163,3929,5485
Sri Mariamman Temple,9315,14492,393,3338,7918,9615,1859,5276,8319,4839,1582,13230,5192,0,8267,3423,9101,9750,8294,1299,3084
Sri Srinivasa Perumal Temple,2162,9331,6972,7309,1632,2462,6506,2459,702,5144,6858,4258,2731,6637,0,5613,1923,2597,736,7262,8189
Sri Thandayuthapani Temple,4249,11677,2263,1607,5103,4070,1798,2416,4656,1979,2149,9630,2331,1928,3482,0,2788,4086,4630,2553,4108
Sri Veeramakaliamman Temple,1511,7734,7716,3474,2376,2022,7251,1560,1082,1995,7602,5002,1832,7381,744,3496,0,2038,1056,8006,8933
Sultan Mosque,3960,12174,3066,1719,4018,2324,2601,1127,3089,1293,2953,7317,1154,3166,3346,4307,4310,0,3123,3356,3160
Temple of 1000 Lights (Sakyamuni Buddha Gaya Temple),1692,9060,6700,7038,1515,2345,6235,1989,25,4872,6587,4141,2261,6366,625,5342,1245,2480,0,6991,8072
Thian Hock Keng Temple,8812,13988,960,2984,7415,9112,495,4805,7816,4368,110,12924,4721,1127,7764,2952,8598,3976,7791,0,2098
Marina Bay Sands,6110,13979,2986,2202,9884,4474,2521,2790,5239,2568,2244,9122,2706,3154,5496,4791,11797,3555,5272,2648,0
